Afrihkká	Afriko
Fiži	Fiĝioj
Venezuela	Venezuelo
Šáhkka	Ŝako
Maine	Majno
Heabuš	Ĉevalo
Amsterdam	Amsterdamo
Suriname	Surinamo
Paraguay	Paragvajo
Guyana	Gujano
Ecuador	Ekvadoro
Kolombia	Kolombio
Eanamuorjjit	Frago
Buddhisma	Budhismo
Bolivia	Bolivio
New Hampshire	Nov-Hampŝiro
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher ja Nevis	Sankta-Kito kaj Neviso
Guobbarat	Fungoj
Jamaica	Jamajko
Grenada	Grenado (lando)
Massachusetts	Masaĉuseco
Guatemala	Gvatemalo
Bahama	Bahamoj
Connecticut	Konektikuto
Antigua ja Barbuda	Antigvo-Barbudo
Haváija	Havajo
Honduras	Honduro
Dominica	Dominiko
Dominikána dásseváldi	Domingo
Haiti	Haitio
El Salvador	Salvadoro
Iran	Irano
Irak	Irako
Alaska	Alasko
Costa Rica	Kostariko
Israel	Israelo
Panama	Panamo
Jemen	Jemeno
Polskkagiella	Pola lingvo
Jordánia	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Kirgisistan	Kirgizio
Arizona	Arizono
Kuwait	Kuvajto
Laos	Laoso
Libanon	Libano
Oregon	Oregono
Ipmil (risttalašvuohta)	Dio laŭ kristanismo
Malediivvat	Maldivoj
Utah	Utaho
Malaysia	Malajzio
Valais (kantona)	Kantono Valezo
Myanmar	Birmo
Nepal	Nepalo
Oman	Omano
Pakistan	Pakistano
Qatar	Kataro
Saudi-Arábia	Sauda Arabio
Sri Lanka	Sri-Lanko
Syria	Sirio
Platon	Platono
Tažikistan	Taĝikio
Taiwan	Respubliko Ĉinio
YouTube	YouTube
Aristoteles	Aristotelo
Thaieana	Tajlando
Turkmenistan	Turkmenio
Ovttastuvvan arábaemiráhtat	Unuiĝintaj Arabaj Emirlandoj
Vietnam	Vjetnamio
Lulli-Korea	Sud-Koreio
Afganistan	Afganio
Nižni Novgorod	Niĵnij Novgorod
J. R. R. Tolkien	John Ronald Reuel Tolkien
Golli	Oro
Bangladesh	Bangladeŝo
Mali	Malio
Angola	Angolo
Bhutan	Butano
Brunei	Brunejo
Tanzánia	Tanzanio
Filippiinnat	Filipinoj
Gaska-Afrihká dásseváldi	Centr-Afrika Respubliko
Davvipola	Norda poluso
Albert Einstein	Albert Einstein
Togo	Togolando
Tunisia	Tunizio
Zámbia	Zambio
Zimbabwe	Zimbabvo
Peking	Pekino
Lulli-Sudan	Sud-Sudano
Tuva	Tuvio
Benin	Benino
Botswana	Bocvano
Burkina Faso	Burkino
Burundi	Burundo
Komorat	Komoroj
Kongo dásseváldi	Respubliko Kongo
Kongo demokráhtalaš dásseváldi	Demokratia Respubliko Kongo
Djibouti	Ĝibutio
Bayern	Bavario
Beaivvedási Guinea	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
New Delhi	Nov-Delhio
Tbilisi	Tbiliso
Gabon	Gabono
Gambia	Gambio
Guinea	Gvineo
Guinea-Bissau	Gvineo Bisaŭa
Elefántačalánriddu	Ebur-Bordo
Kamerun	Kameruno
Kap Verde	Kaboverdo
Lesotho	Lesoto
Liberia	Liberio
Libya	Libio
Madagaskar	Madagaskaro
Malawi	Malavio
Mauritánia	Maŭritanio
Mauritius	Maŭricio
Marokko	Maroko
Mosambik	Mozambiko
Namibia	Namibio
Niger	Niĝero
Nigeria	Niĝerio
Uganda	Ugando
Rwanda	Ruando
São Tomé ja Príncipe	Sao-Tomeo kaj Principeo
Senegal	Senegalo
Seychellsullot	Sejŝeloj
Sierra Leone	Siera-Leono
Somália	Somalio
Sudan	Sudano
Svazieana	Svazilando
Hamborg	Hamburgo
Ovttastuvvan našuvnnat	Unuiĝintaj Nacioj
Praha	Prago
Bill Clinton	William J. Clinton
Lothringen	Loreno
Auvergne	Aŭvernjo
Michigan	Miĉigano
Goa	Goao
Burgundi	Burgonjo
Akvitania	Akvitanio
Limousin	Limoĝio
Slesvig-Holsten	Ŝlesvigo-Holstinio
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
Niedersachsen	Malsupra Saksio
Nordrhein-Westfalen	Nordrejn-Vestfalio
Hessen	Hesio
Rheinland-Pfalz	Rejnlando-Palatinato
Saarland	Sarlando
Sachsen	Saksio
Illinois	Ilinojso
Thüringen	Turingio
Sachsen-Anhalt	Saksio-Anhalto
Davvi-Dakota	Norda Dakoto
Brandenburg	Brandenburgio
Bremen	Libera hansa urbo Bremeno
Lombardia	Lombardujo
Lulli-Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piemonte	Piemonto
Idaho	Idaho
Valle d'Aosta	Aosta Valo
Washington (oassestáhta)	Vaŝingtonio
Nevada	Nevado
Trentino-Alto Adige	Trentino-Alto Adige
Veneto	Veneto
Friuli-Venezia Giulia	Friulo-Venecio Julia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurio
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
Toscana	Toskanio
Marche	Markio (Italio)
Umbria	Umbrio
Kategoriija:Váldokategoriijat	Kategorio:Ĉio
Latium	Latio
Abruzzo	Abruco
Chicago	Ĉikago
Spánskagiella	Hispana lingvo
Montevideo	Montevideo
Delhi	Delhio
Heavdni	Araneuloj
Islamabad	Islamabado
Šattus	Frukto
Áhppa	Simio
Virginia	Virginio (ŝtato)
Oarje-Virginia	Okcidenta Virginio
New York (oassestáhta)	Nov-Jorkio
Rhode Island	Rod-Insulo
Maryland	Marilando
Delaware	Delavaro
Ohio	Ohio
Pennsylvania	Pensilvanio
Uetersen	Uetersen
New Jersey	Nov-Ĵerzejo
Suomagiella	Finna lingvo
Indiana	Indianio
Georgia (oassestáhta)	Georgio
KDE	KDE
Zagreb	Zagrebo
Campania	Kampanio
Texas	Teksaso
Molise	Molizo
Puglia	Apulio
Basilicata	Basilikato
Davvi-Carolina	Norda Karolino
Lulli-Carolina	Suda Karolino
Calabria	Kalabrio
Sicilia	Sicilio
Sardinia	Sardio
Meksiko gávpot	Meksik-urbo
Tokyo	Tokio
Barcelona	Barcelono
Mississippi	Misisipio
Tennessee	Tenesio
New Mexico	Nov-Meksiko
Athena	Ateno
Minnesota	Minesoto
UTC	UTC
Wisconsin	Viskonsino
Iowa	Iovao
Nebraska	Nebrasko
Ciudad de Guatemala	Gvatemalurbo
Kansas	Kansaso
Hindigiella	Hindia lingvo
Missouri	Misurio
Louisiana	Luiziano
Kentucky	Kentukio
Arkansas	Arkansaso
Urdugiella	Urduo
Oklahoma	Oklahomo
Moskva oblast	Moskva provinco
München	Munkeno
Samara oblast	Samara provinco (Rusio)
Wien	Vieno
Københápman	Kopenhago
Kaliningrad oblast	Kaliningrada provinco
Stockholbma	Stokholmo
Helsset	Helsinko
Murmansk oblast	Murmanska provinco
Dublin	Dublino
Murmánska	Murmansko
Reykjavík	Rejkjaviko
Tallinn	Talino
Riga	Rigo
Bratislava	Bratislavo
Budapest	Budapeŝto
Gdańsk	Gdańsk
Frankfurt	Frankfurto ĉe Majno
Luxemburg (gávpot)	Luksemburgo
Vaduz	Vaduzo
Biibbal	Biblio
Hồ Chí Minh gávpot	Ho-Ĉi-Min-urbo
Hanoi	Hanojo
Duođalaš Jesusa Girku	Vera Eklezio de Jesuo
Eaŋgalsgiella	Angla lingvo
Bangkok	Bankoko
Andorra la Vella	Andoro Malnova
Arkhangelsk oblast	Arĥangelska provinco
Đồng Hới	Dong Hoi
Concepción, Chile	Koncepciono
Fyresdal	Fyresdal
Kiova	Kievo
Gárjila dásseváldi	Karelio (respubliko)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
2004	2004
Vologda oblast	Vologda provinco
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Komi dásseváldi	Komiio
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Biebmu	Manĝaĵo
Gearpmašat	Serpento
Ođđajagimánu 1.	1-a de januaro
Ođđajagimánu 2.	2-a de januaro
1920	1920
Ođđajagimánu 3.	3-a de januaro
1919	1919
1921	1921
Njenec Iehčanas Guovlu	Nenecio
1922	1922
Lund (Rogalánda)	Lund
Ođđajagimánu 4.	4-a de januaro
1923	1923
1924	1924
Leningrad oblast	Leningrada provinco
Ođđajagimánu 5.	5-a de januaro
Malmö	Malmö
Pskov oblast	Pskova provinco
Ođđajagimánu 6.	6-a de januaro
Ođđajagimánu 7.	7-a de januaro
Ođđajagimánu 8.	8-a de januaro
Ođđajagimánu 9.	9-a de januaro
Novgorod oblast	Novgoroda provinco
Ođđajagimánu 10.	10-a de januaro
Nizjnij Novgorod oblast	Niĵnij-Novgoroda provinco
Ođđajagimánu 11.	11-a de januaro
Ođđajagimánu 12.	12-a de januaro
Telemárkku fylka	Telemark
Ođđajagimánu 13.	13-a de januaro
Ođđajagimánu 14.	14-a de januaro
Ođđajagimánu 15.	15-a de januaro
Ođđajagimánu 16.	16-a de januaro
Ođđajagimánu 17.	17-a de januaro
Ođđajagimánu 18.	18-a de januaro
Ođđajagimánu 19.	19-a de januaro
Ođđajagimánu 20.	20-a de januaro
Skien	Skien
Ođđajagimánu 21.	21-a de januaro
Ođđajagimánu 22.	22-a de januaro
Ođđajagimánu 23.	23-a de januaro
Ođđajagimánu 24.	24-a de januaro
Ođđajagimánu 25.	25-a de januaro
Minsk	Minsko
Ođđajagimánu 26.	26-a de januaro
Ođđajagimánu 27.	27-a de januaro
Ođđajagimánu 28.	28-a de januaro
Ođđajagimánu 29.	29-a de januaro
Ođđajagimánu 30.	30-a de januaro
Ođđajagimánu 31.	31-a de januaro
Tver oblast	Tverja provinco
Juovlamánu 2.	2-a de decembro
Juovlamánu 1.	1-a de decembro
Juovlamánu 3.	3-a de decembro
Juovlamánu 7.	7-a de decembro
Juovlamánu 5.	5-a de decembro
Juovlamánu 8.	8-a de decembro
Juovlamánu 10.	10-a de decembro
Juovlamánu 6.	6-a de decembro
Juovlamánu 9.	9-a de decembro
Juovlamánu 4.	4-a de decembro
Guovvamánu 1.	1-a de februaro
Guovvamánu 2.	2-a de februaro
Guovvamánu 3.	3-a de februaro
Kurów	Kurów
Guovvamánu 4.	4-a de februaro
Guovvamánu 5.	5-a de februaro
Guovvamánu 6.	6-a de februaro
Guovvamánu 7.	7-a de februaro
Guovvamánu 8.	8-a de februaro
Guovvamánu 9.	9-a de februaro
Guovvamánu 10.	10-a de februaro
Guovvamánu 14.	14-a de februaro
Guovvamánu 13.	13-a de februaro
Guovvamánu 15.	15-a de februaro
Guovvamánu 11.	11-a de februaro
Guovvamánu 12.	12-a de februaro
Guovvamánu 19.	19-a de februaro
Guovvamánu 17.	17-a de februaro
Guovvamánu 16.	16-a de februaro
Guovvamánu 18.	18-a de februaro
Guovvamánu 20.	20-a de februaro
Smolensk oblast	Smolenska provinco
Guovvamánu 21.	21-a de februaro
Guovvamánu 22.	22-a de februaro
Guovvamánu 23.	23-a de februaro
Guovvamánu 24.	24-a de februaro
Guovvamánu 25.	25-a de februaro
Guovvamánu 26.	26-a de februaro
Guovvamánu 27.	27-a de februaro
Guovvamánu 28.	28-a de februaro
Juovlamánu 11.	11-a de decembro
Guovvamánu 29.	29-a de februaro
Juovlamánu 12.	12-a de decembro
Juovlamánu 13.	13-a de decembro
Juovlamánu 14.	14-a de decembro
Juovlamánu 15.	15-a de decembro
Njukčamánu 2.	2-a de marto
Njukčamánu 3.	3-a de marto
Njukčamánu 5.	5-a de marto
Njukčamánu 1.	1-a de marto
Njukčamánu 7.	7-a de marto
Njukčamánu 8.	8-a de marto
Njukčamánu 4.	4-a de marto
Njukčamánu 10.	10-a de marto
Njukčamánu 11.	11-a de marto
Njukčamánu 6.	6-a de marto
Njukčamánu 13.	13-a de marto
Njukčamánu 9.	9-a de marto
Njukčamánu 12.	12-a de marto
Njukčamánu 15.	15-a de marto
Njukčamánu 14.	14-a de marto
Juovlamánu 16.	16-a de decembro
Juovlamánu 17.	17-a de decembro
Njukčamánu 16.	16-a de marto
Njukčamánu 17.	17-a de marto
Njukčamánu 18.	18-a de marto
Njukčamánu 19.	19-a de marto
1989	1989
1988	1988
Njukčamánu 20.	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
Njukčamánu 21.	21-a de marto
1983	1983
Njukčamánu 22.	22-a de marto
1982	1982
1981	1981
Juovlamánu 18.	18-a de decembro
1980	1980
Njukčamánu 23.	23-a de marto
Jaroslavl oblast	Jaroslavla provinco
Juovlamánu 19.	19-a de decembro
Njukčamánu 24.	24-a de marto
Njukčamánu 25.	25-a de marto
Juovlamánu 20.	20-a de decembro
Njukčamánu 26.	26-a de marto
Njukčamánu 27.	27-a de marto
Njukčamánu 28.	28-a de marto
Njukčamánu 29.	29-a de marto
Njukčamánu 30.	30-a de marto
Njukčamánu 31.	31-a de marto
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cuoŋománu 15.	15-a de aprilo
Cuoŋománu 13.	13-a de aprilo
Cuoŋománu 12.	12-a de aprilo
Cuoŋománu 14.	14-a de aprilo
Cuoŋománu 11.	11-a de aprilo
Cuoŋománu 10.	10-a de aprilo
Cuoŋománu 8.	8-a de aprilo
Cuoŋománu 9.	9-a de aprilo
Cuoŋománu 7.	7-a de aprilo
Cuoŋománu 6.	6-a de aprilo
Cuoŋománu 5.	5-a de aprilo
Cuoŋománu 4.	4-a de aprilo
Cuoŋománu 3.	3-a de aprilo
Cuoŋománu 1.	1-a de aprilo
Cuoŋománu 2.	2-a de aprilo
Cuoŋománu 16.	16-a de aprilo
Cuoŋománu 17.	17-a de aprilo
Cuoŋománu 18.	18-a de aprilo
Cuoŋománu 19.	19-a de aprilo
Cuoŋománu 20.	20-a de aprilo
Cuoŋománu 21.	21-a de aprilo
Cuoŋománu 22.	22-a de aprilo
Cuoŋománu 23.	23-a de aprilo
Cuoŋománu 24.	24-a de aprilo
Cuoŋománu 25.	25-a de aprilo
Cuoŋománu 26.	26-a de aprilo
Cuoŋománu 27.	27-a de aprilo
Cuoŋománu 28.	28-a de aprilo
Cuoŋománu 29.	29-a de aprilo
Cuoŋománu 30.	30-a de aprilo
Miessemánu 1.	1-a de majo
Miessemánu 2.	2-a de majo
Miessemánu 3.	3-a de majo
Miessemánu 4.	4-a de majo
Miessemánu 5.	5-a de majo
Miessemánu 6.	6-a de majo
Miessemánu 7.	7-a de majo
Miessemánu 8.	8-a de majo
Miessemánu 9.	9-a de majo
Miessemánu 10.	10-a de majo
Miessemánu 11.	11-a de majo
Miessemánu 12.	12-a de majo
Miessemánu 13.	13-a de majo
Miessemánu 14.	14-a de majo
Miessemánu 15.	15-a de majo
Miessemánu 16.	16-a de majo
Miessemánu 17.	17-a de majo
Miessemánu 18.	18-a de majo
Miessemánu 19.	19-a de majo
Miessemánu 20.	20-a de majo
Miessemánu 21.	21-a de majo
Miessemánu 22.	22-a de majo
Miessemánu 23.	23-a de majo
Miessemánu 24.	24-a de majo
Miessemánu 25.	25-a de majo
Miessemánu 26.	26-a de majo
Miessemánu 27.	27-a de majo
Miessemánu 28.	28-a de majo
Miessemánu 29.	29-a de majo
Miessemánu 30.	30-a de majo
Miessemánu 31.	31-a de majo
Kostroma oblast	Kostroma provinco
Juovlamánu 21.	21-a de decembro
Geassemánu 14.	14-a de junio
Geassemánu 15.	15-a de junio
Geassemánu 13.	13-a de junio
Geassemánu 10.	10-a de junio
Geassemánu 7.	7-a de junio
Geassemánu 11.	11-a de junio
Geassemánu 9.	9-a de junio
Geassemánu 12.	12-a de junio
Geassemánu 6.	6-a de junio
Geassemánu 8.	8-a de junio
Geassemánu 5.	5-a de junio
Geassemánu 3.	3-a de junio
Geassemánu 2.	2-a de junio
Geassemánu 1.	1-a de junio
Geassemánu 4.	4-a de junio
Juovlamánu 22.	22-a de decembro
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Geassemánu 16.	16-a de junio
Ivanovo oblast	Ivanova provinco
Geassemánu 30.	30-a de junio
Geassemánu 29.	29-a de junio
Geassemánu 28.	28-a de junio
Geassemánu 26.	26-a de junio
Geassemánu 25.	25-a de junio
Geassemánu 22.	22-a de junio
Geassemánu 27.	27-a de junio
Geassemánu 24.	24-a de junio
Geassemánu 20.	20-a de junio
Geassemánu 23.	23-a de junio
Geassemánu 19.	19-a de junio
Geassemánu 18.	18-a de junio
Geassemánu 21.	21-a de junio
Geassemánu 17.	17-a de junio
Juovlamánu 23.	23-a de decembro
Suoidnemánu 15.	15-a de julio
Suoidnemánu 13.	13-a de julio
Suoidnemánu 12.	12-a de julio
Suoidnemánu 10.	10-a de julio
Suoidnemánu 9.	9-a de julio
Suoidnemánu 14.	14-a de julio
Suoidnemánu 8.	8-a de julio
Suoidnemánu 7.	7-a de julio
Suoidnemánu 6.	6-a de julio
Suoidnemánu 5.	5-a de julio
Suoidnemánu 2.	2-a de julio
Suoidnemánu 4.	4-a de julio
Suoidnemánu 3.	3-a de julio
Suoidnemánu 1.	1-a de julio
Suoidnemánu 11.	11-a de julio
Vladimir oblast	Vladimira provinco
Juovlamánu 24.	24-a de decembro
Suoidnemánu 31.	31-a de julio
Suoidnemánu 30.	30-a de julio
Suoidnemánu 29.	29-a de julio
Suoidnemánu 28.	28-a de julio
Suoidnemánu 27.	27-a de julio
Suoidnemánu 25.	25-a de julio
Suoidnemánu 24.	24-a de julio
Suoidnemánu 23.	23-a de julio
Suoidnemánu 26.	26-a de julio
Suoidnemánu 22.	22-a de julio
Suoidnemánu 19.	19-a de julio
Suoidnemánu 21.	21-a de julio
Suoidnemánu 20.	20-a de julio
Suoidnemánu 17.	17-a de julio
Suoidnemánu 18.	18-a de julio
Suoidnemánu 16.	16-a de julio
Spábbačiekčan	Futbalo
Juovlamánu 25.	25-a de decembro
Rjazan oblast	Rjazanja provinco
1963	1963
Lech Kaczyński	Lech Kaczyński
Juovlamánu 26.	26-a de decembro
1962	1962
Borgemánu 14.	14-a de aŭgusto
Borgemánu 15.	15-a de aŭgusto
Borgemánu 13.	13-a de aŭgusto
Borgemánu 12.	12-a de aŭgusto
Borgemánu 11.	11-a de aŭgusto
Borgemánu 10.	10-a de aŭgusto
Borgemánu 8.	8-a de aŭgusto
Borgemánu 7.	7-a de aŭgusto
Borgemánu 9.	9-a de aŭgusto
Borgemánu 5.	5-a de aŭgusto
Borgemánu 4.	4-a de aŭgusto
Borgemánu 2.	2-a de aŭgusto
Borgemánu 3.	3-a de aŭgusto
Borgemánu 6.	6-a de aŭgusto
Borgemánu 1.	1-a de aŭgusto
Tula oblast	Tula provinco
Juovlamánu 27.	27-a de decembro
Madrid	Madrido
Brjansk oblast	Brjanska provinco
Borgemánu 16.	16-a de aŭgusto
Coca-Cola	Koka-kolao
Borgemánu 29.	29-a de aŭgusto
Borgemánu 28.	28-a de aŭgusto
Borgemánu 30.	30-a de aŭgusto
Borgemánu 25.	25-a de aŭgusto
Borgemánu 26.	26-a de aŭgusto
Borgemánu 23.	23-a de aŭgusto
Borgemánu 27.	27-a de aŭgusto
Borgemánu 21.	21-a de aŭgusto
Borgemánu 20.	20-a de aŭgusto
Borgemánu 24.	24-a de aŭgusto
Borgemánu 18.	18-a de aŭgusto
Borgemánu 17.	17-a de aŭgusto
Borgemánu 22.	22-a de aŭgusto
Borgemánu 19.	19-a de aŭgusto
Borgemánu 31.	31-a de aŭgusto
Michael Jackson	Michael Jackson
Juovlamánu 28.	28-a de decembro
Kaluga oblast	Kaluga provinco
Čakčamánu 15.	15-a de septembro
Čakčamánu 14.	14-a de septembro
Čakčamánu 13.	13-a de septembro
Čakčamánu 12.	12-a de septembro
Čakčamánu 8.	8-a de septembro
Čakčamánu 11.	11-a de septembro
Čakčamánu 7.	7-a de septembro
Čakčamánu 10.	10-a de septembro
Čakčamánu 5.	5-a de septembro
Čakčamánu 4.	4-a de septembro
Čakčamánu 9.	9-a de septembro
Čakčamánu 2.	2-a de septembro
Čakčamánu 6.	6-a de septembro
Čakčamánu 1.	1-a de septembro
Čakčamánu 3.	3-a de septembro
Juovlamánu 29.	29-a de decembro
Alexander Lukašenka	Aleksandro Lukaŝenko
Čakčamánu 30.	30-a de septembro
Čakčamánu 29.	29-a de septembro
Čakčamánu 28.	28-a de septembro
Čakčamánu 27.	27-a de septembro
Čakčamánu 26.	26-a de septembro
Čakčamánu 25.	25-a de septembro
Čakčamánu 23.	23-a de septembro
Čakčamánu 22.	22-a de septembro
Čakčamánu 24.	24-a de septembro
Čakčamánu 21.	21-a de septembro
Čakčamánu 20.	20-a de septembro
Čakčamánu 18.	18-a de septembro
Čakčamánu 17.	17-a de septembro
Čakčamánu 19.	19-a de septembro
Čakčamánu 16.	16-a de septembro
Quito	Kito
Juovlamánu 30.	30-a de decembro
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Juovlamánu 31.	31-a de decembro
Golggotmánu 1.	1-a de oktobro
Golggotmánu 15.	15-a de oktobro
Golggotmánu 12.	12-a de oktobro
Golggotmánu 10.	10-a de oktobro
Golggotmánu 14.	14-a de oktobro
Golggotmánu 9.	9-a de oktobro
Golggotmánu 8.	8-a de oktobro
Golggotmánu 13.	13-a de oktobro
Golggotmánu 7.	7-a de oktobro
Golggotmánu 11.	11-a de oktobro
Golggotmánu 6.	6-a de oktobro
Golggotmánu 4.	4-a de oktobro
Golggotmánu 5.	5-a de oktobro
Golggotmánu 3.	3-a de oktobro
Golggotmánu 2.	2-a de oktobro
Golggotmánu 31.	31-a de oktobro
Golggotmánu 30.	30-a de oktobro
Golggotmánu 29.	29-a de oktobro
Golggotmánu 28.	28-a de oktobro
Golggotmánu 26.	26-a de oktobro
Golggotmánu 25.	25-a de oktobro
Golggotmánu 24.	24-a de oktobro
Golggotmánu 27.	27-a de oktobro
