Afrika	Afriko
Republik Tchek	Ĉeĥio
Slovakia	Slovakio
Slovenia	Slovenio
Vilnius	Vilno
Moldova	Moldava Respubliko
Roumania	Rumanio
Bulgaria	Bulgario
Roma	Romo
Republik Makedonia	Respubliko Makedonio
Albania	Albanio
Greunland	Gronlando
Kroatia	Kroatio
Bosnia-ha-Herzegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbaidjan	Azerbajĝano
Andorra	Andoro
Republik Kiprenez	Kipro
Jorjia (bro)	Kartvelio
Wallonia	Valonio
Kazakstan	Kazaĥio
Malta	Malto
Flandrez	Flandrio
Monako	Monako
Montenegro	Montenegro
Keoded ar Vatikan	Vatikano
San Marino	San-Marino
Brusel	Bruselo
Rannvro Brusel-Kêr-benn	Brusela Ĉefurba Regiono
Kuba	Kubo
Belize	Belizo
Tour Eiffel	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Touchennaoueg (urzhiataerezh)	Komputila klavaro
Indonezia	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkeg	Turka lingvo
Suafrika	Sud-Afriko
Jean-François Champollion	Jean-François Champollion
Aljeria	Alĝerio
Wikimammenn	Vikifontaro
Ouzbekistan	Uzbekujo
Poznań	Poznano
Tochkent	Taŝkento
Varsovia	Varsovio
Ìle	Islay
Eurovision	Eŭrovido-Kantokonkurso
Modena	Modeno
Wiski	Viskio
Gwin	Vino
Dour	Akvo
Cognac	Cognac
Lêr	Ledo
Koad	Ligno
Teurgn	Tours
Skinwel	Televido
Reizh	Sekso
Pornografiezh	Pornografio
Islandeg	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chile	Ĉilio
El Greco	El Greco
Jezuz Nazaret	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilejo
Merc'her (planedenn)	Merkuro (planedo)
Istor	Historio
Apple	Apple
Gwener (planedenn)	Venuso (planedo)
Yezh	Lingvo
Karantez	Amo
Diktatouriezh	Diktatoreco
Galaksienn	Galaksio
Yaou (planedenn)	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Hent Sant-Jakez (galaksienn)	Lakta vojo
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Praeksplodo
Ouran (planedenn)	Urano (planedo)
Breizh	Bretonio
Nicolas Sarkozy	Nicolas Sarkozy
Emgann Marignano	Batalo de Marignano
Neizhan (planedenn)	Neptuno (planedo)
Steredoniezh	Astronomio
Singapour	Singapuro
Skiant	Scienco
Ploudon (korrblanedenn)	Plutono
Montreal	Montrealo
Poellad frank	Libera programaro
Kemper	Quimper
La Flèche	La Flèche
Mari, mamm Jezuz	Maria (patrino de Jesuo)
Loeiz IX (Bro-C'hall)	Ludoviko la 9-a (Francio)
Liechtenstein	Liĥtenŝtejno
Sport	Sporto
Cambridge	Kembriĝo (Britio)
Park broadel Yellowstone	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Blanca Kastilha	Blanka de Kastilio
Facebook	Facebook
WikiLeaks	WikiLeaks
Brezel-bed kentañ	Unua mondmilito
Eil Brezel-bed	Dua mondmilito
Köln	Kolonjo
Augusto Pinochet	Augusto Pinochet
Wikiarroud	Vikicitaro
Horolaj	Horloĝo
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Gdynia	Gdynia
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matematik	Matematiko
Latin	Latina lingvo
Bahrein	Barejno
Armenia	Armenio
Skritur gennheñvel	Kojnoskribo
Bozon Higgs	Bosono de Higgs
Serbia	Serbio
Loar	Luno
Istanbul	Istanbulo
Aostralia	Aŭstralio
Bob Marley	Bob Marley
Fizik	Fiziko
Arc'hantina	Argentino
Pellgehenterezhioù	Telekomunikado
Perou	Peruo
Bevoniezh	Biologio
Nijell dianavez	Nifo
Republik Poblel ha Demokratel Korea	Nord-Koreio
Kambodja	Kamboĝo
Gourizad Kuiper	Kujper-zono
Koran	Korano
Dinosaor	Dinosaŭro
Loenoniezh	Bestoscienco
Islam	Islamo
Levraoueg Aleksandria	Librejo de Aleksandrio
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Louzawouriezh	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Rod	Rado
Georges Brassens	Georges Brassens
Peoc'h	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Unaniezh Europa	Eŭropa Unio
Plovdiv	Plovdiv
Star Wars	Star Wars
Rhône-Alpes	Rodano-Alpoj
World Wide Web	TTT
Maouez	Virino
Sofia	Sofio
Ñ	Ñ
Don Quijote de la Mancha	Kiĥoto
Barzhoniezh	Poezio
Leziregezh	Maldiligento
Milano	Milano
Arthur Rimbaud	Arthur Rimbaud
Torino	Torino
Kaoc'h	Fekaĵo
Fraezh	Anuso
Kazel	Akselo
Suraval	Citrono
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Bananez	Banano
Émile Zola	Émile Zola
666	666
Bleuñv	Floro
Gogol	Guglo
Vladimir Vysotsky	Vladimir Visockij
Menez Everest	Ĉomolungmo
Korfadurezh	Anatomio
Kêr	Urbo
Napoleon Iañ	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Steredenn	Stelo
Vesuvio	Vezuvio
Heol	Suno
Oabl	Ĉielo
Louis Pasteur	Louis Pasteur
Bloavezh-gouloù	Lumjaro
Victor Hugo	Victor Hugo
Okeania	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Atleterezh	Atletiko
Koskoriad an Heol	Sunsistemo
Mor Baltel	Balta Maro
Trieste	Triesto
Stêr Wisła	Vistulo
Avenue des Champs-Élysées	Avenuo de la Elizeaj Kampoj
Oder	Odro
Dant	Dento
Hidrogen	Hidrogeno
Heliom	Heliumo
Ifern	Infero
Wikimedia Commons	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Litiom	Litio
Beriliom	Berilio
Levr	Libro
Deiz	Tago
Timor ar Reter	Orienta Timoro
Noz	Nokto
Bloaz	Jaro
Kantved	Jarcento
Łódź	Lodzo
Menez Gwenn	Blanka Monto
Roen	Rejno
Oslo	Oslo
Bonn	Bonn
Gouel an Hollsent	Ĉiuj Sanktuloj
Katowice	Katowice
Toull du	Nigra truo
Luís de Camões	Luís Vaz de Camões
Gae	Gejo
Keres (korrblanedenn)	Cereso
Lisbon	Lisbono
Ron	Rodano
136199 Eris	Eriso
Dubai	Dubajo
Lionel Messi	Lionel Messi
Padova	Padovo
Bor	Boro
Nicolaus Copernicus	Koperniko
Versailhez	Versailles
Karbon	Karbono
Volga	Volgo
Nitrogen	Nitrogeno
Bergamo	Bergamo
Oksigen	Oksigeno
Football Club Internazionale Milano	Inter Milano
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planedenn	Planedo
Kleopatra VII	Kleopatra
Kate Bush	Kate Bush
Sonerezh	Muziko
Venezia	Venecio
Naruto	Naruto (mangao)
Po	Pado
Neva	Neva
Roazhon	Rennes
Lille	Lille
Moskov	Moskvo
Fluor	Fluoro
Italianeg	Itala lingvo
Chihuahua (ki)	Ĉivava hundo
Neon	Neono
Chihuahua (stad)	Chihuahua
Sant-Petersbourg	Sankt-Peterburgo
Tchad	Ĉado
Sodiom	Natrio
Norzh	Nordo
Magneziom	Magnezio
Aluminiom	Aluminio
Zeland-Nevez	Nov-Zelando
Su	Sudo
India	Barato
Silisiom	Silicio
Frankiom	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Fosfor	Fosforo
André-Marie Ampère	André-Marie Ampère
Komz-plaen	Prozo
Houarn	Fero
Tonga	Tongo
Kornôg	Okcidento
Alessandro Volta	Alessandro Volta
Sulfur	Sulfuro
Samoa	Samoo
Reter	Oriento
Inizi Salomon	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Klor	Kloro
Delft	Delft
Papoua Ginea-Nevez	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Fablenn	Fablo
Zuid-Holland	Suda Holando
Palau	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Kontadenn	Fabelo
Noord-Holland	Norda Holando
Stadoù Kevreet Mikronezia	Federacio de Mikronezio
Potasiom	Kalio
Zeeland	Zelando
Kalsiom	Kalcio
Flevoland	Flevolando
Plom	Plumbo
Inizi Marshall	Marŝala Insularo
Kiribati	Kiribato
Mongolia	Mongolio
Fidji	Fiĝioj
Skandiom	Skandio
Titaniom	Titano (elemento)
Venezuela	Venezuelo
Echedoù	Ŝako
Genghis Khan	Ĝingis-Ĥano
Vanadiom	Vanado
Maine (stad)	Majno
Krom	Kromo
Marc'h	Ĉevalo
Amsterdam	Amsterdamo
Arm	Armilo
Loen	Bestoj
Surinam	Surinamo
Manganez	Mangano
Paraguay	Paragvajo
Guyana	Gujano
Arz	Arto
Ecuador	Ekvadoro
Reniom	Renio
Kolombia	Kolombio
Kobalt	Kobalto
Jean Racine	Jean Racine
Wolfram (tungsten)	Volframo
Nikel	Nikelo
Boudaegezh	Budhismo
Groningen (kêr)	Groningen (urbo)
Bolivia	Bolivio
Osmiom	Osmio
Groningen (proviñs)	Groningen (provinco)
Kouevr	Kupro
Trinidad ha Tobago	Trinidado kaj Tobago
Plant	Plantoj
Sant Visant hag an Inizi Granadinas	Sankta Vincento kaj Grenadinoj
Zink	Zinko
New Hampshire	Nov-Hampŝiro
Santez-Lusia (stad)	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts ha Nevis	Sankta-Kito kaj Neviso
Fungi	Fungoj
Dario Fo	Dario Fo
Jamaika	Jamajko
Grenada	Grenado (lando)
Friz	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Gvatemalo
Gelderland	Gelderland
Proviñs Utrecht	Utrecht (provinco)
Bahamas	Bahamoj
Connecticut	Konektikuto
Yar (evn)	Koko
Antigua ha Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Honduras	Honduro
Dominika	Dominiko
Jerzenez	Ĵersejo
Republik Dominikan	Domingo
Pemoc'h	Porko
Meurvor skornek Arktika	Arkta Oceano
Republik Haiti	Haitio
El Salvador	Salvadoro
Zwolle	Zwolle
Iran	Irano
Irak	Irako
Alaska	Alasko
Assen	Assen
Costa Rica	Kostariko
Israel	Israelo
Utrecht (kêr)	Utrecht
Panamá	Panamo
Yemen	Jemeno
Randstad	Randstad
Lausanne	Laŭzano
Virus	Viruso (biologio)
Poloneg	Pola lingvo
Jordania	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Kirgizstan	Kirgizio
Arizona	Arizono
Koweit	Kuvajto
Laos	Laoso
Liban	Libano
Oregon	Oregono
Maldivez	Maldivoj
Amerika	Ameriko
Utah	Utaho
Bos taurus	Bovo
Malaysia	Malajzio
Valais	Kantono Valezo
Myanmar	Birmo
Nepal	Nepalo
Oman	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Katar	Kataro
Tennis	Teniso
Arabia Saoudat	Sauda Arabio
Sri Lanka	Sri-Lanko
Jozef Stalin	Josif Stalin
Siria	Sirio
Platon	Platono
Galliom	Galiumo
Iosif Brodskiy	Iosif Brodskij
Tadjikistan	Taĝikio
Pokémon	Pokemono
Republik Sina	Respubliko Ĉinio
Germaniom	Germaniumo
Aristoteles	Aristotelo
Thailand	Tajlando
Tren	Trajno
Arsenik	Arseno
Skingomz	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Seleniom	Seleno
Iridiom	Iridio
Emirelezhioù Arab Unanet	Unuiĝintaj Arabaj Emirlandoj
Brom	Bromo
Platin	Plateno
Viêt Nam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Republik Korea	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
The Simpsons	La Simpsonoj
Yekaterinbourg	Jekaterinburg
Kripton	Kriptono
Afghanistan	Afganio
Nijniy Novgorod	Niĵnij Novgorod
John Ronald Reuel Tolkien	John Ronald Reuel Tolkien
Samara (kêr Rusia)	Samara (urbo)
Rubidiom	Rubidio
Aour	Oro
Omsk	Omsk
Kanol Suez	Sueza Kanalo
Kazan	Kazano
Bangladesh	Bangladeŝo
Franz Kafka	Franz Kafka
Rostov-an-Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Oufa (kêr)	Ufa
Mali	Malio
Sokrates	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm	Permjo
Bhoutan	Butano
Twitter	Twitter
Brunei	Brunejo
Brač	Brač
Tanzania	Tanzanio
Bevargant	Hidrargo
Roald Amundsen	Roald Amundsen
Filipinez	Filipinoj
Republik Kreizafrikan	Centr-Afrika Respubliko
Talliom	Taliumo
Pennahel ar Su	Suda poluso
Pennahel an Norzh	Norda poluso
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontiom	Stroncio
Pedro Iañ Brazil	Petro la 1-a (Brazilo)
Itriom	Itrio
Bismut	Bismuto
Melen (liv)	Flava
Togo	Togolando
Donald Tusk	Donald Tusk
Tunizia	Tunizio
Zambia	Zambio
Zimbabwe	Zimbabvo
Beijing	Pekino
Soudan ar Su	Sud-Sudano
Vladivostok	Vladivostok
Touva	Tuvio
Benin	Benino
Botswana	Bocvano
Burkina Faso	Burkino
Burundi	Burundo
Komorez	Komoroj
Republik Kongo	Respubliko Kongo
Alkmaar	Alkmaar
Ob	Obo
Republik Demokratel Kongo	Demokratia Respubliko Kongo
San Antonio (Texas)	San Antonio (Teksaso)
Tomsk	Tomsk
Djibouti	Ĝibutio
Poloniom	Polonio
Bavaria	Bavario
Ginea ar C'heheder	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
New Delhi	Nov-Delhio
Yann-Baol II	Johano Paŭlo la 2-a
Fyodor Dostoyevskiy	Fjodor Dostojevskij
Amersfoort	Amersforto
Ledenez Kamtchatka	Kamĉatko
Tbilisi	Tbiliso
Appingedam	Appingedam
Andrey Sac'harov	Andrej Saĥarov
Babig	Bebo
Astat	Astato
Gabon	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Solidarność	Solidareco (Pollando)
Bannoù-treset	Bildliteraturo
Gambia	Gambio
Ginea	Gvineo
Ginea-Bissau	Gvineo Bisaŭa
Aod an Olifant	Ebur-Bordo
Kameroun	Kameruno
Kab Glas	Kaboverdo
Lesotho	Lesoto
Liberia	Liberio
Libia	Libio
Aachen	Aachen
Madagaskar	Madagaskaro
Malawi	Malavio
Stuttgart	Stutgarto
Maouritania	Maŭritanio
Maoris	Maŭricio
Maroko	Maroko
Mozambik	Mozambiko
Namibia	Namibio
France Prešeren	France Prešeren
Niger	Niĝero
Nigeria	Niĝerio
Biel/Bienne	Bielo
Charles Darwin	Charles Darwin
Ouganda	Ugando
Rwanda	Ruando
Zirkoniom	Zirkonio
São Tomé ha Príncipe	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Senegal	Senegalo
Sechelez	Sejŝeloj
Carl von Linné	Karolo Lineo
Sierra Leone	Siera-Leono
Somalia	Somalio
Niobiom	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Caius Julius Caesar	Julio Cezaro
Soudan	Sudano
Swaziland	Svazilando
Kanevedenn	Ĉielarko
Molibden	Molibdeno
Teknetiom	Teknecio
Hamburg	Hamburgo
Metabolegezh	Metabolo
Narendra Modi	Narendra Modi
Gujarat	Guĝaratio
Lenn Ontario	Ontario (lago)
Alessandro Manzoni	Alessandro Manzoni
Aozadur ar Broadoù Unanet	Unuiĝintaj Nacioj
Lenn Superior	Supra Lago
Dante Alighieri	Dante Alighieri
Douarouriezh	Geologio
Douaroniezh	Geografio
Kalon	Koro
Empenn	Cerbo
Kroc'hen	Haŭto
Liv	Koloro
Star Trek (heuliadenn orin)	Stela Vojaĝo: La Origina Serio
Salerno	Salerno
Anv-kadarn	Substantivo
Praha	Prago
Ruteniom	Rutenio
Rodiom	Rodio
Glas (liv)	Blua
Palladiom	Paladio
Arc'hant (metal)	Arĝento
Kadmiom	Kadmio
Star Trek	Star Trek
Limburg (Izelvroioù)	Limburgo (Nederlando)
Indiom	Indio
Limbourg (Belgia)	Limburgo (Belgio)
Staen	Stano
Uraniom	Uranio
Antimon	Antimono
Telluriom	Teluro
Noord-Brabant	Norda Brabanto
Plutoniom	Plutonio
Iod	Jodo
Neptuniom	Neptunio
Ksenon	Ksenono
Anime	Animeo
Keziom	Cezio
Protaktiniom	Protaktinio
Bariom	Bario
Proviñs Kornôg-Flandrez	Okcidenta Flandrio
Reter-Flandrez	Orienta Flandrio
Toriom	Torio
Antwerpen (proviñs)	Antverpeno (provinco)
Brabant Flandrez	Flandra Brabanto
Hafniom	Hafnio
Aktiniom	Aktinio
Brabant Wallonia	Valona Brabanto
Tantalom	Tantalo
Bill Clinton	William J. Clinton
Namur (proviñs)	Namuro (provinco)
Luksembourg (proviñs)	Luksemburgo (Belgio)
Liège (proviñs)	Lieĝo (provinco)
Radiom	Radiumo
Hainaut (proviñs)	Henegovio
Radon	Radono
Lorraine (rannvro)	Loreno
Elzas	Alzaco
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merc'her (doue)	Merkuro (dio)
Louis Hector Berlioz	Louis Hector Berlioz
Auvergne (rannvro)	Aŭvernjo
Mumbai	Mumbajo
Andhra Pradesh	Andra-Pradeŝo
Arunachal Pradesh	Arunaĉal-Pradeŝo
Asam	Asamo
Bihar	Biharo
Michigan	Miĉigano
Chhattisgarh	Ĉhatisgaro
Lenn Michigan	Miĉigano (lago)
Goa	Goao
Bourgogn (rannvro)	Burgonjo
Haryana	Harjano
Himachal Pradesh	Himaĉal-Pradeŝo
Maurice Ravel	Maurice Ravel
Akitania (rannvro)	Akvitanio
Jammu ha Kachmir	Ĝamuo kaj Kaŝmiro
Puerto Rico	Porto-Riko
Jharkhand	Ĝharkhando
Karnataka	Karnatako
Kerala	Keralao
Madhya Pradesh	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Limousin (rannvro)	Limoĝio
Maharashtra	Maharaŝtro
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipuro
Schleswig-Holstein	Ŝlesvigo-Holstinio
Meghalaya	Meghalajo
Mecklenburg-Pomerania ar C'hornaoueg	Meklenburgo-Antaŭpomerio
Saks-Izel	Malsupra Saksio
Nordrhein-Westfalen	Nordrejn-Vestfalio
Hessen	Hesio
Rheinland-Pfalz	Rejnlando-Palatinato
Saarland	Sarlando
Saks	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thüringen	Turingio
Saks-Anhalt	Saksio-Anhalto
North Dakota	Norda Dakoto
Brandenburg	Brandenburgio
Bremen	Libera hansa urbo Bremeno
Lombardia	Lombardujo
South Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piemonte	Piemonto
Jeruzalem	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Traoñienn Aosta	Aosta Valo
Washington (stad)	Vaŝingtonio
Rutherfordiom	Ruterfordio
Nevada	Nevado
Francesco Cossiga	Francesco Cossiga
Dubniom	Dubnio
Seaborgiom	Seborgio
Trentino-Alto Adige	Trentino-Alto Adige
Meurvor Indez	Hinda Oceano
Veneto	Veneto
Kosovo	Kosovo
Mor Karib	Kariba Maro
Bohriom	Borio
Friuli-Venezia Giulia	Friulo-Venecio Julia
Hasiom	Hasio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria (Rannvro)	Ligurio
Meitneriom	Mejtnerio
Kurt Waldheim	Kurt Waldheim
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
Colorado (stêr)	Kolorado (rivero)
Darmstadtiom	Darmŝtatio
Frédéric Chopin	Frédéric Chopin
Roentgeniom	Rentgenio
Toskana	Toskanio
Leonard Cohen	Leonard Cohen
Kopernisiom	Kopernicio
Marche	Markio (Italio)
Umbria	Umbrio
Rummad:Rummad pennañ	Kategorio:Ĉio
Lazio	Latio
Abruzzo	Abruco
Alpoù	Alpoj
Karpatoù	Karpatoj
Grenoble	Grenoblo
Blaise Pascal	Blaise Pascal
Dortmund	Dortmund
Gent	Gento (urbo)
Chicago	Ĉikago
The Beatles	The Beatles
Fleroviom	Flerovio
Livermoriom	Livermorumo
Maastricht	Maastricht
Arnhem	Arnhem
Goañv	Vintro
Nevezamzer	Printempo
Hañv	Somero
Diskar-amzer	Aŭtuno
Kedez	Ekvinokso
Saddam Husain	Saddam Hussein
Ousama ben Laden	Usama bin Laden
Spagnoleg	Hispana lingvo
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh (Pensilvanio)
C'hoarigan	Opero
Philadelphia	Filadelfio (Pensilvanio)
Kolkata	Kolkato
Chennai	Ĉenajo
Delhi	Delhio
Dhaka	Dako
Bangalore	Bengaluro
Kornôg Bengal	Okcident-Bengalo
Kevnid	Araneuloj
Arthropoda	Artropodoj
Islamabad	Islamabado
Tripura	Tripuro
Frouezh	Frukto
Marmouz (loen)	Simio
Arc'hant	Mono
Virginia	Virginio (ŝtato)
West Virginia	Okcidenta Virginio
Kevioù hag Erevent	Drakoj kaj Galerioj
Lenn Huron	Lago Hurono
New York (Stad)	Nov-Jorkio
Keriom	Cerio
Prazeodimiom	Prazeodimo
Rhode Island	Rod-Insulo
Neodimiom	Neodimo
Amprevan	Insekto
Maryland	Marilando
Delaware	Delavaro
Vladimir Lenin	Lenin
Europiom	Eŭropio
Ohio	Ohio
Publius Vergilius Maro	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsylvania	Pensilvanio
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Aogust (impalaer)	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
Tiberius Caesar Augustus	Tiberio
New Jersey	Nov-Ĵerzejo
Caligula	Kaligulo
Jibraltar	Ĝibraltaro
Glaoda Iañ	Klaŭdio
Finneg	Finna lingvo
Indiana	Indianio
Vitellius	Vitelio
Vespasianus	Vespasiano
Karr-tan	Aŭtomobilo
Titus (impalaer)	Tito (imperiestro)
Domitianus	Domiciano
Roger Federer	Roger Federer
Hadrian	Hadriano
Georgia	Georgio
Antoninus Pius	Antonino Pia
Marcus Aurelius	Marko Aŭrelio
Zagreb	Zagrebo
Rajasthan	Raĝastano
Campania	Kampanio
Texas	Teksaso
Molise	Molizo
Tamil Nadu	Tamilnado
Caracalla	Karakalo
Puglia	Apulio
Genova	Ĝenovo
Basilicata	Basilikato
North Carolina	Norda Karolino
South Carolina	Suda Karolino
Calabria	Kalabrio
Sikilia	Sicilio
Manila	Manilo
Sardigna	Sardio
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino la 3-a
Liger	Luaro
Saena	Sejno
Ar Mañs	Le Mans
Bourdel	Bordeaux
Buenos Aires	Bonaero
Kêr-Vec'hiko	Meksik-urbo
Tokyo	Tokio
La Paz (Bolivia)	La-Pazo
Barcelona	Barcelono
Mississippi (stad)	Misisipio
Fernão de Magalhães	Fernão de Magalhães
Mississippi (stêr)	Misisipo (rivero)
Uttar Pradesh	Utar-Pradeŝo
Uttarakhand	Utarakando
José Rizal	José Rizal
Poull-neuial	Banejo
Mizoram	Mizoramo
Sikkim	Sikimo
Patagonia	Patagonio
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abiĝano
Abu Dhabi	Abu-Dabio
Astana	Astano
