Afrika	Afriko
Japan	Japanio
Južna Amerika	Sudameriko
Norveška	Norvegio
Engleska	Anglio
Škotska	Skotlando
Wales	Kimrio
Sjeverna Irska	Nord-Irlando
Irska	Irlando
Mađarska	Hungario
Španjolska	Hispanio
Sjedinjene Američke Države	Usono
Belgija	Belgio
Luksemburg	Luksemburgo (lando)
Svemir	Universo
Zemlja	Tero
Život	Vivo
Smrt	Morto
Čovjek	Homo
Sreća	Feliĉo
Triskaidekafobija	Dektrifobio
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Mayanski kalendar	Majaa kalendaro
Finska	Finnlando
Švedska	Svedio
Danska	Danio
Poljska	Pollando
Litva	Litovio
Italija	Italio
Švicarska	Svislando
Austrija	Aŭstrio
Grčka	Grekio
Turska	Turkio
Pivo	Biero
Portugal	Portugalio
Europa	Eŭropo
Azija	Azio
Sjeverna Amerika	Nordameriko
Antarktika	Antarkto
Wikipedija	Vikipedio
Nizozemska	Nederlando
Spolni ud	Peniso
PHP	PHP
New York City, New York	Novjorko
Washington	Vaŝingtono
San Francisco, Kalifornija	San-Francisko
Berlin	Berlino
Los Angeles, Kalifornija	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Računalo	Komputilo
Bern	Berno
Ženeva	Ĝenevo
Zürich	Zuriko
IRC	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Urugvaj	Urugvajo
Basel	Bazelo
Pisač	Presilo
MediaWiki	MediaVikio
London	Londono
Kairo	Kairo
Glavobolja	Kapdoloro
Aleksandrija	Aleksandrio
Jabuka	Pomo
Pariz	Parizo
Abraham Lincoln	Abraham Lincoln
Android (operacijski sustav)	Android
Google (tvrtka)	Google
Meksiko	Meksiko
Atlantski ocean	Atlantika Oceano
Tihi ocean	Pacifika Oceano
Kalifornija	Kalifornio
Boston, Massachusetts	Bostono
Ponedjeljak	Lundo
Prostor	Spaco
Siječanj	Januaro
Veljača	Februaro
Ožujak	Marto
Mars	Marso
Mars (mitologija)	Marso (dio)
Kenija	Kenjo
Etiopija	Etiopio
Gana	Ganao
Travanj	Aprilo
Svibanj	Majo
Lipanj	Junio
Srpanj	Julio
Kolovoz	Aŭgusto
Rujan	Septembro
Listopad	Oktobro
Studeni	Novembro
Prosinac	Decembro
Utorak	Mardo
Srijeda	Merkredo
Četvrtak	Ĵaŭdo
Petak	Vendredo
Subota	Sabato
Nedjelja	Dimanĉo
Lovac (šah)	Kuriero (ŝako)
Pješak (šah)	Peono (ŝako)
Skakač	Ĉevalo (ŝako)
Top (šah)	Turo (ŝako)
Kralj (šah)	Reĝo (ŝako)
Kraljica (šah)	Damo (ŝako)
Lav	Leono
Francuska	Francio
Esperanto	Esperanto
Domaći pas	Hundo
Ujedinjeno Kraljevstvo	Unuiĝinta Reĝlando
Domaća mačka	Hejma kato
Kina	Ĉina Popola Respubliko
Francuski jezik	Franca lingvo
Wječnik	Vikivortaro
Ribe	Fiŝoj
Etanol	Etanolo
Alkoholno piće	Alkoholaĵo
Brazil	Brazilo
Alkoholi	Alkoholo
François Hollande	François Hollande
Rusija	Rusio
Kitovi	Cetacoj
Vlakno	Fibro
Optičko vlakno	Optika fibro
Kvadrat	Kvadrato (geometrio)
More	Maro
Crno more	Nigra Maro
Pi (broj)	Pi (nombro)
Pi	Pio (litero)
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
São Paulo (federalna brazilska država)	San-Paŭlo
Québec	Kebekio
Pizza	Pico
Boeing 747	Boeing 747
Wikimedija	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Njemačka	Germanio
Bjelorusija	Belorusio
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Il Canto degli Italiani
Njemački jezik	Germana lingvo
Island	Islando
Bog	Dio
Estonija	Estonio
David Cameron	David Cameron
Saturn	Saturno (planedo)
Saturnovi prsteni	Ringoj de Saturno
Čokolada	Ĉokolado
Avion	Aviadilo
Rat	Milito
Jedan	1 (nombro)
Dva	2 (nombro)
Tri	3 (nombro)
Četiri	4 (nombro)
Pet	5 (nombro)
Nula	Nulo
Beskonačnost	Senfineco
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Pravokutnik	Ortangulo
Latvija	Latvio
Ukrajina	Ukrainio
Češka	Ĉeĥio
Slovačka	Slovakio
Slovenija	Slovenio
Vilnius	Vilno
Moldavija	Moldava Respubliko
Rumunjska	Rumanio
Bugarska	Bulgario
Rim	Romo
Makedonija	Respubliko Makedonio
Albanija	Albanio
Grenland	Gronlando
Hrvatska	Kroatio
Bosna i Hercegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbajdžan	Azerbajĝano
Andora	Andoro
Cipar	Kipro
Gruzija	Kartvelio
Valonija	Valonio
Kazahstan	Kazaĥio
Malta	Malto
Flandrija	Flandrio
Monako	Monako
Crna Gora	Montenegro
Vatikan	Vatikano
San Marino	San-Marino
Grad Bruxelles	Bruselo
Regija glavnoga grada Bruxellesa	Brusela Ĉefurba Regiono
Kuba	Kubo
Belize	Belizo
Eiffelov toranj	Eiffel-Turo
Barbados	Barbado
Intel	Intel
Tipkovnica	Komputila klavaro
Java (programski jezik)	Java (programlingvo)
Indonezija	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turski jezik	Turka lingvo
Mandelbrotov skup	Aro de Mandelbrot
Južnoafrička Republika	Sud-Afriko
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžir	Alĝerio
Wikizvor	Vikifontaro
Uzbekistan	Uzbekujo
Poznanj	Poznano
Taškent	Taŝkento
Varšava	Varsovio
Pjesma Eurovizije	Eŭrovido-Kantokonkurso
Modena	Modeno
Viski	Viskio
Vino	Vino
Voda	Akvo
Koža (materijal)	Ledo
Drvo (materijal)	Ligno
Tours	Tours
Televizija	Televido
Spol	Sekso
Pornografija	Pornografio
Islandski jezik	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Čile	Ĉilio
El Greco	El Greco
Isus	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Merkur	Merkuro (planedo)
Povijest	Historio
Groblje Père-Lachaise	Tombejo Père-Lachaise
Apple Inc.	Apple
Venera	Venuso (planedo)
Jezik	Lingvo
Ljubav	Amo
Diktatura	Diktatoreco
Galaktika	Galaksio
Jupiter	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Mliječni put	Lakta vojo
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Veliki prasak	Praeksplodo
Uran	Urano (planedo)
Bretanja	Bretonio
Wikipedija na engleskom jeziku	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Bitka kod Marignana	Batalo de Marignano
Neptun	Neptuno (planedo)
Astronomija	Astronomio
Singapur	Singapuro
Znanost	Scienco
Chargoggagoggmanchauggagoggchaubunagungamaugg	Chargoggagogg­manchauggagogg­chaubunagungamaugg
Kozmologija	Kosmologio
Pluton	Plutono
Montréal	Montrealo
Slobodna programska podrška	Libera programaro
Budućnost	Estonteco
Marija (majka Isusova)	Maria (patrino de Jesuo)
Luj IX., kralj Francuske	Ludoviko la 9-a (Francio)
Lihtenštajn	Liĥtenŝtejno
Šport	Sporto
Cambridge	Kembriĝo (Britio)
Nacionalni park Yellowstone	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Blanka Kastiljska	Blanka de Kastilio
Facebook	Facebook
Spomenik kulture	Protektita monumento
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	Unua mondmilito
Drugi svjetski rat	Dua mondmilito
Treći svjetski rat	Tria mondmilito
Köln	Kolonjo
Korupcija	Korupto
Wikiknjige	Vikilibroj
Augusto Pinochet	Augusto Pinochet
Wikicitat	Vikicitaro
Wiki-sveučilište	Vikiversitato
!!!	!!!
Wikivoyage	Vikivojaĝo
Votka	Vodko
Vafel proizvod	Vaflo
Sat (instrument)	Horloĝo
Janka Kupala	Janka Kupala
Ubuntu	Ubuntu (linukso)
Skoplje	Skopjo
Gdynia	Gdynia
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matematika	Matematiko
U2	U2
Latinski jezik	Latina lingvo
Bahrein	Barejno
Armenija	Armenio
Klinasto pismo	Kojnoskribo
Higgsov bozon	Bosono de Higgs
Srbija	Serbio
Mjesec	Luno
Istanbul	Istanbulo
Australija	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Astrobiologio
Fizika	Fiziko
Argentina	Argentino
Silbo Gomero	Silbo
Telekomunikacija	Telekomunikado
Peru	Peruo
Biologija	Biologio
NLO	Nifo
Sjeverna Koreja	Nord-Koreio
Kambodža	Kamboĝo
Kuiperov pojas	Kujper-zono
Kuran	Korano
Dinosauri	Dinosaŭro
Zoologija	Bestoscienco
Islam	Islamo
Kruške	Pirarbo
Aleksandrijska knjižnica	Librejo de Aleksandrio
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Botanika	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Kotač	Rado
Encyclopédie	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Denis Diderot	Denis Diderot
Um	Menso
Mir	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Europska unija	Eŭropa Unio
Plovdiv	Plovdiv
Internet Arhiv	Internet Archive
Zvjezdani ratovi	Star Wars
Rona-Alpe	Rodano-Alpoj
World Wide Web	TTT
Žena	Virino
Sofija	Sofio
Don Quijote	Kiĥoto
Poezija	Poezio
Lijenost	Maldiligento
Računalni virus	Komputviruso
Černobilska katastrofa	Nuklea akcidento de Ĉernobilo
Milano	Milano
Prijateljstvo	Amikeco
Pamćenje	Memoro
Arthur Rimbaud	Arthur Rimbaud
Torino	Torino
Izmet	Fekaĵo
Anus	Anuso
Limun	Citrono
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Émile Zola	Émile Zola
666.	666
Cvijet	Floro
Gugol	Guglo
Marijanska brazda	Mariana Fosego
Vladimir Visocki	Vladimir Visockij
Mount Everest	Ĉomolungmo
Anatomija	Anatomio
Grad	Urbo
Napoleon Bonaparte	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fiziologija	Fiziologio
Zvijezda	Stelo
Vezuv	Vezuvio
Sunce	Suno
Nebo	Ĉielo
Louis Pasteur	Louis Pasteur
Svjetlosna godina	Lumjaro
Selo	Vilaĝo
Victor Hugo	Victor Hugo
Oceanija	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletika	Atletiko
Cenzura	Cenzuro
Sunčev sustav	Sunsistemo
Baltičko more	Balta Maro
Trst	Triesto
Visla	Vistulo
Elizejske poljane	Avenuo de la Elizeaj Kampoj
Odra	Odro
Vodik	Hidrogeno
Helij	Heliumo
Pakao	Infero
Zajednički poslužitelj	Vikimedia Komunejo
Čistilište	Purgatorio
Angela Merkel	Angela Merkel
Litij	Litio
Berilij	Berilio
Zvučnik	Laŭtparolilo
Knjiga	Libro
Dan	Tago
Istočni Timor	Orienta Timoro
Noć	Nokto
Godina	Jaro
Stoljeće	Jarcento
Łódź	Lodzo
Villeurbanne	Villeurbanne
Mont Blanc	Blanka Monto
Rajna	Rejno
Oslo	Oslo
Bonn	Bonn
Svi sveti	Ĉiuj Sanktuloj
Katowice	Katowice
Crna rupa	Nigra truo
Luís de Camões	Luís Vaz de Camões
Gej	Gejo
1 Ceres	Cereso
Lisabon	Lisbono
Rzeszów	Rzeszów
136108 Haumea	Haŭmeo
Rhône	Rodano
136472 Makemake	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Sveta Catherine Tekakwitha	Kateri Tekakvida
136199 Eris	Eriso
Dubai	Dubajurbo
Lionel Messi	Lionel Messi
Padova	Padovo
Bor (element)	Boro
Nikola Kopernik	Koperniko
Versailles	Versailles
Ludwigsburg	Ludwigsburg
Ugljik	Karbono
Alessandro Del Piero	Alessandro del Piero
Volga	Volgo
Dušik	Nitrogeno
Bergamo	Bergamo
Kisik	Oksigeno
F.C. Internazionale Milano	Inter Milano
Planet	Planedo
Kleopatra	Kleopatra
Kate Bush	Kate Bush
Glazba	Muziko
Venecija	Venecio
Naruto	Naruto (mangao)
Pad	Pado
Sharm el-Sheikh	Ŝarm el Ŝeiĥ
Neva	Neva
Termometar	Termometro
Rennes	Rennes
Lille	Lille
Moskva	Moskvo
Fluor	Fluoro
Talijanski jezik	Itala lingvo
Chihuahua (pas)	Ĉivava hundo
Neon	Neono
Chihuahua	Chihuahua
Sankt Peterburg	Sankt-Peterburgo
Čad	Ĉado
Natrij	Natrio
Sjever	Nordo
Magnezij	Magnezio
Shin Seiki Evangelion	Neon Genesis Evangelion
Aluminij	Aluminio
Novi Zeland	Nov-Zelando
Jug	Sudo
Indija	Barato
Silicij	Silicio
Francij	Franciumo
Tuvalu	Tuvalo
