Afrika	Afriko
Japonia	Japanio
Amerika Jugore	Sudameriko
Norvegjia	Norvegio
Anglia	Anglio
Skocia	Skotlando
Uellsi	Kimrio
Irlanda Veriore	Nord-Irlando
Republika e Irlandës	Irlando
Hungaria	Hungario
Spanja	Hispanio
Shtetet e Bashkuara të Amerikës	Usono
Belgjika	Belgio
Luksemburgu	Luksemburgo (lando)
Gjithësia	Universo
Toka	Tero
Jeta	Vivo
Vdekja	Morto
Njeriu	Homo
Lumturia	Feliĉo
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Numri i shtazës	Nombro de la bestio
Gjuha lit	Leet
Stanley Kubrick	Stanley Kubrick
Kalendari maja	Majaa kalendaro
Finlanda	Finnlando
Suedia	Svedio
Danimarka	Danio
Polonia	Pollando
Lituania	Litovio
Italia	Italio
Zvicra	Svislando
Austria	Aŭstrio
Greqia	Grekio
Turqia	Turkio
Birra	Biero
Portugalia	Portugalio
Evropa	Eŭropo
Azia	Azio
Amerika Veriore	Nordameriko
Antarktiku	Antarkto
Wikipedia	Vikipedio
All your base are belongs to us	All your base are belong to us
Vendet e Ulëta	Nederlando
PHP	PHP
New York City	Novjorko
Uashington D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlini	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Kompjuteri	Komputilo
Courrendlin	Courrendlin
Berna	Berno
Gjeneva	Ĝenevo
Zyrihu	Zuriko
Internet Relay Chat	Interreta relajsa babilo
Interneti	Interreto
Barack Obama	Barack Obama
Uruguaji	Urugvajo
Bazeli	Bazelo
Printeri	Presilo
Londra	Londono
Kajro	Kairo
Aleksandria	Aleksandrio
Molla	Pomo
Parisi	Parizo
Abraham Lincoln	Abraham Lincoln
Android (sistemi operativ)	Android
Google	Google
Meksika	Meksiko
Oqeani Atlantik	Atlantika Oceano
Oqeani Paqësor	Pacifika Oceano
Kalifornia	Kalifornio
Boston	Bostono
E hëna	Lundo
Hapësira	Spaco
Janari	Januaro
Shkurti	Februaro
Marsi (muaj)	Marto
Marsi	Marso
Kenia	Kenjo
Etiopia	Etiopio
Gana	Ganao
Prilli	Aprilo
Maji	Majo
Qershori	Junio
Korriku	Julio
Gushti	Aŭgusto
Shtatori	Septembro
Tetori	Oktobro
Nëntori	Novembro
Dhjetori	Decembro
E marta	Mardo
E mërkura	Merkredo
E enjtja	Ĵaŭdo
E premtja	Vendredo
E shtuna	Sabato
E diela	Dimanĉo
Luani	Leono
Franca	Francio
Gjuha esperanto	Esperanto
Qeni	Hundo
Mbretëria e Bashkuar e Britanisë së Madhe dhe Irlandës së Veriut	Unuiĝinta Reĝlando
Macja	Hejma kato
Kina	Ĉina Popola Respubliko
Gjuha frënge	Franca lingvo
Wiktionary	Vikivortaro
Peshku	Fiŝoj
Etanoli	Etanolo
Pije alkoolike	Alkoholaĵo
Brazili	Brazilo
Alkoolet	Alkoholo
François Hollande	François Hollande
Rusia	Rusio
Fibrat	Fibro
Fibrat optike	Optika fibro
Katrori	Kvadrato (geometrio)
Deti	Maro
Deti i Zi	Nigra Maro
Numri pi	Pi (nombro)
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
Sao Paulo (shtet)	San-Paŭlo
Kebeku (provincë)	Kebekio
Boeing 747	Boeing 747
Wikimedia	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Gjermania	Germanio
Bjellorusia	Belorusio
Larry Sanger	Larry Sanger
Gjuha gjermane	Germana lingvo
Islanda	Islando
Perëndia	Dio
Estonia	Estonio
David Cameron	David Cameron
Saturni	Saturno (planedo)
Çokollata	Ĉokolado
Aeroplani	Aviadilo
Lufta	Milito
Dy (2)	2 (nombro)
Tre (3)	3 (nombro)
Katër (4)	4 (nombro)
Pesë (5)	5 (nombro)
Pafundësia	Senfineco
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Letonia	Latvio
Ukraina	Ukrainio
Republika Çeke	Ĉeĥio
Sllovakia	Slovakio
Sllovenia	Slovenio
Vilnius	Vilno
Moldavia	Moldava Respubliko
Rumania	Rumanio
Bullgaria	Bulgario
Roma	Romo
Republika e Maqedonisë	Respubliko Makedonio
Shqipëria	Albanio
Groenlanda	Gronlando
Kroacia	Kroatio
Bosnja dhe Hercegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbajxhani	Azerbajĝano
Andorra	Andoro
Qiproja	Kipro
Gjeorgjia	Kartvelio
Kazakistani	Kazaĥio
Malta	Malto
Monako	Monako
Mali i Zi	Montenegro
Vatikani	Vatikano
San Marino	San-Marino
Brukseli	Brusela Ĉefurba Regiono
Kuba	Kubo
Beliza	Belizo
Kulla Eiffel	Eiffel-Turo
Barbadosi	Barbado
Volkswagen	Volkswagen
Intel Corporation	Intel
Tastiera kompjuterike	Komputila klavaro
Java (gjuhë programimi)	Java (programlingvo)
Indonezia	Indonezio
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Gjuha turke	Turka lingvo
Republika Jugafrikane	Sud-Afriko
Linkin Park	Linkin Park
Algjeria	Alĝerio
Wikisource	Vikifontaro
Uzbekistani	Uzbekujo
Tashkenti	Taŝkento
Varshava	Varsovio
Festivali Evropian i Këngës	Eŭrovido-Kantokonkurso
Vera (pije alkoolike)	Vino
Uji	Akvo
Televizioni	Televido
Pornografia	Pornografio
Gjuha islandeze	Islanda lingvo
Kilia	Ĉilio
Jezusi	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Mërkuri	Merkuro (planedo)
Historia	Historio
Apple Inc.	Apple
Venusi	Venuso (planedo)
Gjuha (komunikim)	Lingvo
Dashuria	Amo
Diktatura	Diktatoreco
Galaktika	Galaksio
Jupiteri	Jupitero (planedo)
Rruga e Qumështit	Lakta vojo
Llanfairpwllgwyngyll	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Praeksplodo
Urani (planet)	Urano (planedo)
Wikipedia anglisht	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Neptuni (planet)	Neptuno (planedo)
Astronomia	Astronomio
Singapori	Singapuro
Shkenca	Scienco
Kozmologjia	Kosmologio
Plutoni (planet)	Plutono
Montreali	Montrealo
Programi kompjuterik i lirë	Libera programaro
E ardhmja	Estonteco
Maria	Maria (patrino de Jesuo)
Lihtenshtajni	Liĥtenŝtejno
Sporti	Sporto
Yelloustoun	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Lufta e Parë Botërore	Unua mondmilito
Lufta e Dytë Botërore	Dua mondmilito
Këlni	Kolonjo
Korrupsioni	Korupto
Wikibooks	Vikilibroj
Augusto Pinochet	Augusto Pinochet
Wikicitat	Vikicitaro
Ora	Horloĝo
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu (linukso)
Shkupi	Skopjo
Linux	Linukso
Bob Dylan	Bob Dylan
Matematika	Matematiko
U2	U2
Gjuha latine	Latina lingvo
Bahraini	Barejno
Armenia	Armenio
Serbia	Serbio
Hëna	Luno
Stambolli	Istanbulo
Australia	Aŭstralio
Bob Marley	Bob Marley
Fizika	Fiziko
Argjentina	Argentino
Peruja	Peruo
Biologjia	Biologio
UFO	Nifo
Koreja e Veriut	Nord-Koreio
Kamboxhia	Kamboĝo
Kurani	Korano
Dinozaurët	Dinosaŭro
Zoologjia	Bestoscienco
Feja Islame	Islamo
Dardha	Pirarbo
Biblioteka e Aleksandrisë	Librejo de Aleksandrio
Lubjana	Ljubljano
Botanika	Plantoscienco
Leh Valesa	Lech Wałęsa
Rrota	Rado
Denis Diderot	Denis Diderot
Mendja	Menso
Paqja	Paco
Lion	Liono
Bashkimi Evropian	Eŭropa Unio
Star Wars	Star Wars
Rhône-Alpes	Rodano-Alpoj
World Wide Web	TTT
Gruaja	Virino
Sofja	Sofio
Don Kishoti i Mançës	Kiĥoto
Poezia	Poezio
Virusi i kompjuterit	Komputviruso
Katastrofa e Çernobilit	Nuklea akcidento de Ĉernobilo
Milano	Milano
Kujtesa	Memoro
Artur Rembo	Arthur Rimbaud
Torino	Torino
Limoni	Citrono
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Bananja	Banano
666	666
Kanali Mariana	Mariana Fosego
Mali Everest	Ĉomolungmo
Qyteti	Urbo
Napoleon Bonaparte	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fiziologjia	Fiziologio
Ylli	Stelo
Vezuvi	Vezuvio
Dielli	Suno
Qielli	Ĉielo
Louis Pasteur	Louis Pasteur
Dritëviti	Lumjaro
Fshati	Vilaĝo
Victor Hugo	Victor Hugo
Oqeania	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Atletiko
Cenzura	Cenzuro
Sistemi diellor	Sunsistemo
Deti Baltik	Balta Maro
Visla	Vistulo
Hidrogjeni	Hidrogeno
Heliumi	Heliumo
Ferri	Infero
Wikimedia Commons	Vikimedia Komunejo
Purgatori	Purgatorio
Angela Merkel	Angela Merkel
Litiumi	Litio
Beriliumi	Berilio
Zëdhënësi	Laŭtparolilo
Libri	Libro
Dita	Tago
Timori Lindor	Orienta Timoro
Viti	Jaro
Mont Blank	Blanka Monto
Rhein	Rejno
Oslo	Oslo
Boni	Bonn
Katowice	Katowice
Vrima e zezë	Nigra truo
Ceres	Cereso
Lisbona	Lisbono
Rona	Rodano
Makemake	Makemako (nanoplanedo)
Eris	Eriso
Dubai	Dubajo
Lionel Messi	Lionel Messi
Bori	Boro
Nikola Koperniku	Koperniko
Karboni	Karbono
Alessandro Del Piero	Alessandro del Piero
Vollga	Volgo
Azoti	Nitrogeno
Bergamo	Bergamo
Oksigjeni	Oksigeno
