Afrik	Afriko
Pi (matematik)	Pi (nombro)
Π	Pio (litero)
Mango	Mango (frukto)
Alabama	Alabamo
São Paolo	San-Paŭlo (urbo)
Kebèk	Kebekio
Almay	Germanio
Byelorisi	Belorusio
Alman	Germana lingvo
Islann	Islando
Bondye	Dio
Estoni	Estonio
Satin	Saturno (planedo)
Seriz	Ĉerizo
Avyon	Aviadilo
Lagè	Milito
1 (nonm)	1 (nombro)
2 (nonm)	2 (nombro)
3 (nonm)	3 (nombro)
4 (nonm)	4 (nombro)
5 (nonm)	5 (nombro)
0 (nonm)	Nulo
Rektang	Ortangulo
Letoni	Latvio
Ikrèn	Ukrainio
Tchèki	Ĉeĥio
Slovaki	Slovakio
Sloveni	Slovenio
Vilnis	Vilno
Moldavi	Moldava Respubliko
Woumani	Rumanio
Bilgari	Bulgario
Ròm	Romo
Repiblik d Masedoni	Respubliko Makedonio
Albani	Albanio
Kroasi	Kroatio
Bosni ak Erzegovin	Bosnio kaj Hercegovino
Azerbaydjan	Azerbajĝano
Andora	Andoro
Chip	Kipro
Jeoji	Kartvelio
Kazakstan	Kazaĥio
Malt	Malto
Monako (kapital)	Monako
Montenegwo	Montenegro
Vatikan	Vatikano
Sen Maren (peyi)	San-Marino
Briksèl	Brusela Ĉefurba Regiono
Kiba	Kubo
Beliz	Belizo
Lababad	Barbado
Java	Java (programlingvo)
Endonezi	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	Sud-Afriko
Aljeri	Alĝerio
Ouzbekistan	Uzbekujo
Tachkènt	Taŝkento
Vasovi	Varsovio
Diven	Vino
Dlo	Akvo
Kwi	Ledo
Bwa	Ligno
Chili	Ĉilio
Jezi	Jesuo Kristo
Galileo Galilei	Galilejo
Mèki (planèt)	Merkuro (planedo)
Istwa	Historio
Apple	Apple
Venis (planèt)	Venuso (planedo)
Lang (pawòl)	Lingvo
Galaksi	Galaksio
Jipitè (planèt)	Jupitero (planedo)
Teyori big-bang	Praeksplodo
Iranis	Urano (planedo)
Neptin (planèt)	Neptuno (planedo)
Astwonomi	Astronomio
Sengapou (peyi)	Singapuro
Syans	Scienco
Pliton	Plutono
Monreyal (komin)	Montrealo
Avni	Estonteco
Lichtènstayn	Liĥtenŝtejno
Espò (divètisman)	Sporto
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Linux	Linukso
Matematik	Matematiko
Barayn	Barejno
Ameni	Armenio
Sèbi	Serbio
Lalin	Luno
Istanboul	Istanbulo
Ostrali	Aŭstralio
Bob Marley	Bob Marley
Fizik	Fiziko
Ajantin	Argentino
Telekominikasyon	Telekomunikado
Pewou	Peruo
Biyoloji	Biologio
Kore dinò	Nord-Koreio
Kanbòdj	Kamboĝo
Dinozò	Dinosaŭro
Islamis	Islamo
Lyoubyana	Ljubljano
Etid plant	Plantoscienco
Rou	Rado
Lapè	Paco
Lyon (vil)	Liono
Inyon Ewopeyèn	Eŭropa Unio
Fanm	Virino
Sofia	Sofio
Zanmi	Amikeco
Anis (anatomi)	Anuso
Sitron	Citrono
Bannann	Banano
666 (almanak jilyen)	666
Flè	Floro
Vil	Urbo
Napoléon Bonaparte	Napoleono Bonaparte
Etwal	Stelo
Solèy	Suno
Syèl	Ĉielo
Ane-limyè	Lumjaro
Victor Hugo	Victor Hugo
Oseyani	Oceanio
Atletis	Atletiko
Sistèm solè	Sunsistemo
Idwojèn	Hidrogeno
Elyòm	Heliumo
Lityòm	Litio
Berilyòm	Berilio
Liv (pou li)	Libro
Jou (Tan)	Tago
Timò oryantal	Orienta Timoro
Nwit	Nokto
Lane	Jaro
Syèk	Jarcento
Oslo	Oslo
Twou nwa	Nigra truo
Lisbòn	Lisbono
Kabòn	Karbono
Azòt	Nitrogeno
Oksijèn	Oksigeno
Planèt	Planedo
Mizik	Muziko
Tèmomèt	Termometro
Moskou	Moskvo
Fliyò	Fluoro
Neyon	Neono
Saint-Pétersbourg	Sankt-Peterburgo
Tchad	Ĉado
Sodyòm	Natrio
Nò	Nordo
Manyezyòm	Magnezio
Aliminyòm	Aluminio
Nouvèl Zelann	Nov-Zelando
Sid	Sudo
End	Barato
Silisyòm	Silicio
Fransyòm	Franciumo
Touvalou	Tuvalo
Fosfò	Fosforo
André-Marie Ampère	André-Marie Ampère
Fè	Fero
Tonga	Tongo
Lwès	Okcidento
Alessandro Volta	Alessandro Volta
Souf	Sulfuro
Samoa	Samoo
Lès	Oriento
Salomon	Salomonoj
Vanwatou	Vanuatuo
Molière	Molière
Klò	Kloro
Papwazi-Nouvèl-Gine	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Palao	Palaŭo
Agon	Argono
Naorou	Nauro
Mikwonezi (peyi)	Federacio de Mikronezio
Potasyòm	Kalio
Kalsyòm	Kalcio
Plon	Plumbo
Machal	Marŝala Insularo
Kiribès	Kiribato
Mongoli	Mongolio
Fidji	Fiĝioj
Skandyòm	Skandio
Titàn	Titano (elemento)
Venezwela	Venezuelo
Echèk	Ŝako
Vanadyòm	Vanado
Mèn	Majno
Kwòm	Kromo
Cheval	Ĉevalo
Amstèdam	Amsterdamo
Zam	Armilo
Zannimo	Bestoj
Sirinam	Surinamo
Manganèz	Mangano
Paragwe	Paragvajo
Giyàn	Gujano
La (aktivite)	Arto
Ekwatè (peyi)	Ekvadoro
Kolonbi	Kolombio
Nikèl	Nikelo
Frèz	Frago
Boudis	Budhismo
Bolivi	Bolivio
Kwiv	Kupro
Trinidad ak Tobago	Trinidado kaj Tobago
Plant	Plantoj
Sen Vensan ak Grenadin	Sankta Vincento kaj Grenadinoj
Zenk	Zinko
Nou Anpchi	Nov-Hampŝiro
Sent Lisi	Sankta Lucio
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	Sankta-Kito kaj Neviso
Chanpiyon	Fungoj
Jamayik	Jamajko
Grenad	Grenado (lando)
Masachosèt	Masaĉuseco
Gwatemala	Gvatemalo
Google chrome	Google Chrome
Bahamas	Bahamoj
Konèktikòt	Konektikuto
Antigwa ak Babouda	Antigvo-Barbudo
Awayi	Havajo
Ondiras	Honduro
Dominik	Dominiko
Dominikani	Domingo
Kochon	Porko
Aktik	Arkta Oceano
Ayiti	Haitio
Salvadò	Salvadoro
Iran	Irano
Irak	Irako
Alaska	Alasko
Kostarika	Kostariko
Izrayèl	Israelo
Panama (peyi)	Panamo
Yemèn	Jemeno
Viris	Viruso (biologio)
Jòdani	Jordanio
Nikaragwa	Nikaragvo
Florid	Florido
Kirgistan	Kirgizio
Arizona	Arizono
Kowet	Kuvajto
Laos	Laoso
Liban	Libano
Oregon	Oregono
Maldiv	Maldivoj
Amerik	Ameriko
Youta	Utaho
Malezi	Malajzio
Bimani	Birmo
Nepal	Nepalo
Omàn	Omano
Pakistan	Pakistano
Katar	Kataro
Tenis	Teniso
Arabi Sawoudit	Sauda Arabio
Srilanka	Sri-Lanko
Siri	Sirio
Platon	Platono
Galyòm	Galiumo
Tadjikistan	Taĝikio
Jèmanyòm	Germaniumo
Aristotle	Aristotelo
Tayilann	Tajlando
Asenik	Arseno
Tirkmenistan	Turkmenio
Selenyòm	Seleno
Iridyòm	Iridio
Emira Arab Ini	Unuiĝintaj Arabaj Emirlandoj
Bwòm	Bromo
Platin	Plateno
Vyetnam	Vjetnamio
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Sud-Koreio
Les Simpson	La Simpsonoj
Kripton	Kriptono
Afganistan	Afganio
Lò	Oro
Bangladèch	Bangladeŝo
Mali	Malio
Angola	Angolo
Boutan	Butano
Brouney	Brunejo
Tanzani	Tanzanio
Mèki (eleman chimik)	Hidrargo
Filipin	Filipinoj
Repiblik santafrik	Centr-Afrika Respubliko
Talyòm	Taliumo
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Stroncio
Bismit	Bismuto
Jòn	Flava
Togo	Togolando
Donald Tusk	Donald Tusk
Tinizi	Tunizio
John Bardeen	John Bardeen
Zanbi	Zambio
Zimbabwe	Zimbabvo
Peken	Pekino
Benen	Benino
Botswana	Bocvano
Boukinafaso	Burkino
Bouroundi	Burundo
Komò	Komoroj
Kongo (Brazavil)	Respubliko Kongo
Kongo (Kinchasa)	Demokratia Respubliko Kongo
San Antonio (Teksas)	San Antonio (Teksaso)
Djibouti (peyi)	Ĝibutio
Polonyòm	Polonio
Gine ekwateryal	Ekvatora Gvineo
Eritre	Eritreo
Niou Deli	Nov-Delhio
Tbilisi	Tbiliso
Andrei Dmitrievich Sakharov	Andrej Saĥarov
Gabon	Gabono
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Ganbi	Gambio
Gine	Gvineo
Gine-Bisao	Gvineo Bisaŭa
Kòt divwa	Ebur-Bordo
Kamewoun	Kameruno
Kap Vè	Kaboverdo
Lezoto	Lesoto
Liberya	Liberio
Libi	Libio
Madagaskar	Madagaskaro
Malawi	Malavio
Moritani	Maŭritanio
Moris	Maŭricio
Mawòk	Maroko
Mozanbik	Mozambiko
Namibi	Namibio
Nijè	Niĝero
Nijerya	Niĝerio
Ouganda	Ugando
Rwanda	Ruando
Zikonyòm	Zirkonio
Sen Tome ak Pwènsip	Sao-Tomeo kaj Principeo
Senegal	Senegalo
Sechèl	Sejŝeloj
Syera Leòn	Siera-Leono
Somali	Somalio
Nyobyòm	Niobio
Julius Caesar	Julio Cezaro
Soudan	Sudano
Swazilann	Svazilando
Lakansyèl	Ĉielarko
Tèknesyòm	Teknecio
Metabolis	Metabolo
Evolisyon	Evoluismo
Aleksand Manzoni	Alessandro Manzoni
ONI	Unuiĝintaj Nacioj
Jewoloji	Geologio
Jewografi	Geografio
Kè	Koro
Sèvo	Cerbo
Po	Haŭto
Koulè	Koloro
Prag	Prago
Rodyòm	Rodio
Ble (koulè)	Blua
Paladyòm	Paladio
Ajan (metal)	Arĝento
Kadmyòm	Kadmio
Endyòm	Indio
Eten	Stano
Iranyòm	Uranio
Antimwàn	Antimono
Plitonyòm	Plutonio
Yòd	Jodo
Neptinyòm	Neptunio
Sezyòm	Cezio
Baryòm	Bario
Toryòm	Torio
Aktiniòm	Aktinio
Tantal	Tantalo
Radyòm	Radiumo
Radon	Radono
Alzas	Alzaco
Michigàn	Miĉigano
Pòtoriko	Porto-Riko
Usain Bolt	Usain Bolt
Ilinwa	Ilinojso
Dakota dinò	Norda Dakoto
Dakota disid	Suda Dakoto
Montana	Montano
Wayoming	Vajomingo
Aydawo	Idaho
Wachintòn (eta)	Vaŝingtonio
Nevada	Nevado
Endyen	Hinda Oceano
Bòryòm	Borio
Asyòm	Hasio
Kolorado	Koloradio
Kategori:Rasin	Kategorio:Ĉio
Blaise Pascal	Blaise Pascal
Chikago	Ĉikago
The Beatles	The Beatles
Livè	Vintro
Prentan	Printempo
Lete	Somero
Lotòn	Aŭtuno
Ekinòks otòn	Ekvinokso
Panyòl	Hispana lingvo
Montevideo	Montevideo
Pittsburgh, Pennsilvani	Pittsburgh (Pensilvanio)
Philadelphia, Pennsilvani	Filadelfio (Pensilvanio)
Daka	Dako
Areye	Araneuloj
Atwopòd	Artropodoj
Islamabad	Islamabado
Fwi	Frukto
Makak	Simio
Lajan	Mono
Vijini	Virginio (ŝtato)
Vijini de Lwès	Okcidenta Virginio
Nou Yòk (eta)	Nov-Jorkio
Seryòm	Cerio
Rod Aylann	Rod-Insulo
Neyodim	Neodimo
Ensèk	Insekto
Merilann	Marilando
Delawè	Delavaro
Lenine	Lenin
Ewòpyòm	Eŭropio
Owayo (eta)	Ohio
Pènsilvani	Pensilvanio
Uetersen	Uetersen
Nou Jèze	Nov-Ĵerzejo
Indiana	Indianio
Machin	Aŭtomobilo
Djòdji	Georgio
Zagreb	Zagrebo
Teksas	Teksaso
Karolin dinò	Norda Karolino
Karolin disid	Suda Karolino
Manyl	Manilo
Bwènozè	Bonaero
Meksiko	Meksik-urbo
Tokyo	Tokio
La Paz	La-Pazo
Zannanna	Ananaso
Misisipi (eta)	Misisipio
Misisipi (rivyè)	Misisipo (rivero)
Tenèsi	Tenesio
Abou Dabi	Abu-Dabio
Astana	Astano
Nou Meksiko	Nov-Meksiko
Atèn	Ateno
Minesota	Minesoto
Bagdad	Bagdado
Karakas	Karakaso
Wiskonnsenn	Viskonsino
Ayowa	Iovao
Nebraska	Nebrasko
Siwdad	Gvatemalurbo
Kènsas	Kansaso
La Avàn	Havano
Misouri (eta)	Misurio
Georg Ohm	Georg Ohm
Lwiziana	Luiziano
Luigi Galvani	Luigi Galvani
Kèntòki	Kentukio
Akennsas (eta)	Arkansaso
Neil Armstrong	Neil Armstrong
Oklawoma	Oklahomo
Volebòl	Flugpilkado
Vyèn	Vieno
Kopènag	Kopenhago
Stokolm	Stokholmo
Èlzinki	Helsinko
Diblin	Dublino
Rèkyavik	Rejkjaviko
Talin	Talino
Riga	Rigo
Bratislava	Bratislavo
Boudapès	Budapeŝto
Gdańsk	Gdańsk
Frankfurt	Frankfurto ĉe Majno
Lantàn	Lantano
Samaryòm	Samario (kemio)
Gadolinyòm	Gadolinio
Liksanbou (kapital)	Luksemburgo
Vadouz	Vaduzo
Bib	Biblio
Sen Maren (kapital)	San-Marino (urbo)
Phnom Penh	Pnom-Peno
Hô-Chi-Minh-Vil	Ho-Ĉi-Min-urbo
Litesyòm	Lutecio
Anòy	Hanojo
Legliz de Vre Jezi	Vera Eklezio de Jesuo
Angle	Angla lingvo
Bangkok	Bankoko
Andò-la-Vyèy	Andoro Malnova
Kouala Loumpou	Kuala-Lumpuro
Taypè	Tajpeo
Amerisyòm	Americio
Dong Hoi	Dong Hoi
Concepción, Chili	Koncepciono
Bèkelyòm	Berkelio
Kalifònyòm	Kaliforniumo
Achtaynyòm	Ejnŝtejnio
Fèmyòm	Fermio
Kyèv	Kievo
Nobèlyòm	Nobelio
Otawa	Otavo
Erevàn	Erevano
Końskowola	Końskowola
Kartoum	Ĥartumo
2000 (almanak gregoryen)	2000
2003 (almanak gregoryen)	2003
2002 (almanak gregoryen)	2002
2001 (almanak gregoryen)	2001
2012 (almanak gregoryen)	2012
2011 (almanak gregoryen)	2011
2010 (almanak gregoryen)	2010
2009 (almanak gregoryen)	2009
Dyoksid kabòn	Karbona dioksido
2008 (almanak gregoryen)	2008
2004 (almanak gregoryen)	2004
2005 (almanak gregoryen)	2005
Dragon Ball	Dragon Ball
2006 (almanak gregoryen)	2006
2007 (almanak gregoryen)	2007
Monoksid kabòn	Karbona monooksido
1900 (almanak gregoryen)	1900
1901 (almanak gregoryen)	1901
1902 (almanak gregoryen)	1902
1903 (almanak gregoryen)	1903
1904 (almanak gregoryen)	1904
1905 (almanak gregoryen)	1905
1907 (almanak gregoryen)	1907
1906 (almanak gregoryen)	1906
1908 (almanak gregoryen)	1908
1909 (almanak gregoryen)	1909
1992 (almanak gregoryen)	1992
1991 (almanak gregoryen)	1991
1990 (almanak gregoryen)	1990
1993 (almanak gregoryen)	1993
1994 (almanak gregoryen)	1994
1995 (almanak gregoryen)	1995
1996 (almanak gregoryen)	1996
1910 (almanak gregoryen)	1910
1911 (almanak gregoryen)	1911
1912 (almanak gregoryen)	1912
1913 (almanak gregoryen)	1913
1914 (almanak gregoryen)	1914
1915 (almanak gregoryen)	1915
1916 (almanak gregoryen)	1916
1997 (almanak gregoryen)	1997
1998 (almanak gregoryen)	1998
1999 (almanak gregoryen)	1999
1917 (almanak gregoryen)	1917
1918 (almanak gregoryen)	1918
Koulèv	Serpento
1e janvye	1-a de januaro
2 janvye	2-a de januaro
1920 (almanak gregoryen)	1920
3 janvye	3-a de januaro
1919 (almanak gregoryen)	1919
1921 (almanak gregoryen)	1921
1922 (almanak gregoryen)	1922
4 janvye	4-a de januaro
1923 (almanak gregoryen)	1923
1924 (almanak gregoryen)	1924
5 janvye	5-a de januaro
Arica	Arica (Ĉilia urbo)
6 janvye	6-a de januaro
Elektwon	Elektrono
7 janvye	7-a de januaro
8 janvye	8-a de januaro
9 janvye	9-a de januaro
10 janvye	10-a de januaro
11 janvye	11-a de januaro
12 janvye	12-a de januaro
13 janvye	13-a de januaro
14 janvye	14-a de januaro
15 janvye	15-a de januaro
16 janvye	16-a de januaro
17 janvye	17-a de januaro
18 janvye	18-a de januaro
19 janvye	19-a de januaro
20 janvye	20-a de januaro
21 janvye	21-a de januaro
22 janvye	22-a de januaro
23 janvye	23-a de januaro
24 janvye	24-a de januaro
25 janvye	25-a de januaro
Minsk	Minsko
26 janvye	26-a de januaro
Microsoft	Microsoft
27 janvye	27-a de januaro
28 janvye	28-a de januaro
29 janvye	29-a de januaro
30 janvye	30-a de januaro
31 janvye	31-a de januaro
Pwoton	Protono
2 desanm	2-a de decembro
1e desanm	1-a de decembro
3 desanm	3-a de decembro
7 desanm	7-a de decembro
5 desanm	5-a de decembro
8 desanm	8-a de decembro
10 desanm	10-a de decembro
6 desanm	6-a de decembro
9 desanm	9-a de decembro
4 desanm	4-a de decembro
1e fevriye	1-a de februaro
2 fevriye	2-a de februaro
3 fevriye	3-a de februaro
Kurów (vil)	Kurów
4 fevriye	4-a de februaro
5 fevriye	5-a de februaro
6 fevriye	6-a de februaro
7 fevriye	7-a de februaro
8 fevriye	8-a de februaro
9 fevriye	9-a de februaro
10 fevriye	10-a de februaro
Chimi	Kemio
14 fevriye	14-a de februaro
13 fevriye	13-a de februaro
15 fevriye	15-a de februaro
11 fevriye	11-a de februaro
12 fevriye	12-a de februaro
19 fevriye	19-a de februaro
17 fevriye	17-a de februaro
16 fevriye	16-a de februaro
18 fevriye	18-a de februaro
20 fevriye	20-a de februaro
Netwon	Neŭtrono
21 fevriye	21-a de februaro
22 fevriye	22-a de februaro
23 fevriye	23-a de februaro
24 fevriye	24-a de februaro
25 fevriye	25-a de februaro
26 fevriye	26-a de februaro
27 (almanak jilyen)	27
27 fevriye	27-a de februaro
28 fevriye	28-a de februaro
11 desanm	11-a de decembro
29 fevriye	29-a de februaro
12 desanm	12-a de decembro
13 desanm	13-a de decembro
14 desanm	14-a de decembro
15 desanm	15-a de decembro
2 mas	2-a de marto
3 mas	3-a de marto
5 mas	5-a de marto
1e mas	1-a de marto
7 mas	7-a de marto
8 mas	8-a de marto
4 mas	4-a de marto
10 mas	10-a de marto
11 mas	11-a de marto
6 mas	6-a de marto
13 mas	13-a de marto
9 mas	9-a de marto
12 mas	12-a de marto
15 mas	15-a de marto
14 mas	14-a de marto
16 desanm	16-a de decembro
17 desanm	17-a de decembro
16 mas	16-a de marto
17 mas	17-a de marto
18 mas	18-a de marto
19 mas	19-a de marto
1989 (almanak gregoryen)	1989
1988 (almanak gregoryen)	1988
20 mas	20-a de marto
1987 (almanak gregoryen)	1987
1986 (almanak gregoryen)	1986
1985 (almanak gregoryen)	1985
1984 (almanak gregoryen)	1984
21 mas	21-a de marto
1983 (almanak gregoryen)	1983
22 mas	22-a de marto
1982 (almanak gregoryen)	1982
1981 (almanak gregoryen)	1981
18 desanm	18-a de decembro
1980 (almanak gregoryen)	1980
23 mas	23-a de marto
Moukdicho	Mogadiŝo
19 desanm	19-a de decembro
24 mas	24-a de marto
25 mas	25-a de marto
20 desanm	20-a de decembro
26 mas	26-a de marto
27 mas	27-a de marto
28 mas	28-a de marto
29 mas	29-a de marto
30 mas	30-a de marto
31 mas	31-a de marto
Naso	Nasaŭo (Bahamoj)
Sanaa	Sanao
1970 (almanak gregoryen)	1970
1971 (almanak gregoryen)	1971
1972 (almanak gregoryen)	1972
1973 (almanak gregoryen)	1973
1974 (almanak gregoryen)	1974
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Benwa XVI	Benedikto la 16-a
15 avril	15-a de aprilo
13 avril	13-a de aprilo
12 avril	12-a de aprilo
14 avril	14-a de aprilo
11 avril	11-a de aprilo
10 avril	10-a de aprilo
8 avril	8-a de aprilo
9 avril	9-a de aprilo
7 avril	7-a de aprilo
6 avril	6-a de aprilo
5 avril	5-a de aprilo
4 avril	4-a de aprilo
3 avril	3-a de aprilo
1e avril	1-a de aprilo
2 avril	2-a de aprilo
16 avril	16-a de aprilo
17 avril	17-a de aprilo
18 avril	18-a de aprilo
19 avril	19-a de aprilo
20 avril	20-a de aprilo
21 avril	21-a de aprilo
22 avril	22-a de aprilo
23 avril	23-a de aprilo
24 avril	24-a de aprilo
25 avril	25-a de aprilo
26 avril	26-a de aprilo
27 avril	27-a de aprilo
28 avril	28-a de aprilo
29 avril	29-a de aprilo
30 avril	30-a de aprilo
Satelit	Natura satelito
1e me	1-a de majo
2 me	2-a de majo
3 me	3-a de majo
4 me	4-a de majo
5 me	5-a de majo
6 me	6-a de majo
7 me	7-a de majo
8 me	8-a de majo
9 me	9-a de majo
10 me	10-a de majo
11 me	11-a de majo
12 me	12-a de majo
13 me	13-a de majo
14 me	14-a de majo
15 me	15-a de majo
16 me	16-a de majo
17 me	17-a de majo
18 me	18-a de majo
19 me	19-a de majo
20 me	20-a de majo
21 me	21-a de majo
22 me	22-a de majo
23 me	23-a de majo
24 me	24-a de majo
25 me	25-a de majo
26 me	26-a de majo
27 me	27-a de majo
28 me	28-a de majo
29 me	29-a de majo
30 me	30-a de majo
31 me	31-a de majo
21 desanm	21-a de decembro
14 jen	14-a de junio
15 jen	15-a de junio
13 jen	13-a de junio
10 jen	10-a de junio
7 jen	7-a de junio
11 jen	11-a de junio
9 jen	9-a de junio
12 jen	12-a de junio
6 jen	6-a de junio
8 jen	8-a de junio
5 jen	5-a de junio
3 jen	3-a de junio
2 jen	2-a de junio
1e jen	1-a de junio
4 jen	4-a de junio
22 desanm	22-a de decembro
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	16-a de junio
30 jen	30-a de junio
29 jen	29-a de junio
28 jen	28-a de junio
26 jen	26-a de junio
25 jen	25-a de junio
22 jen	22-a de junio
27 jen	27-a de junio
24 jen	24-a de junio
20 jen	20-a de junio
23 jen	23-a de junio
19 jen	19-a de junio
18 jen	18-a de junio
21 jen	21-a de junio
17 jen	17-a de junio
23 desanm	23-a de decembro
15 jiyè	15-a de julio
13 jiyè	13-a de julio
12 jiyè	12-a de julio
10 jiyè	10-a de julio
9 jiyè	9-a de julio
14 jiyè	14-a de julio
8 jiyè	8-a de julio
7 jiyè	7-a de julio
6 jiyè	6-a de julio
5 jiyè	5-a de julio
2 jiyè	2-a de julio
4 jiyè	4-a de julio
3 jiyè	3-a de julio
1e jiyè	1-a de julio
11 jiyè	11-a de julio
24 desanm	24-a de decembro
31 jiyè	31-a de julio
30 jiyè	30-a de julio
29 jiyè	29-a de julio
28 jiyè	28-a de julio
27 jiyè	27-a de julio
25 jiyè	25-a de julio
24 jiyè	24-a de julio
23 jiyè	23-a de julio
26 jiyè	26-a de julio
22 jiyè	22-a de julio
19 jiyè	19-a de julio
21 jiyè	21-a de julio
20 jiyè	20-a de julio
17 jiyè	17-a de julio
18 jiyè	18-a de julio
16 jiyè	16-a de julio
Foutbòl	Futbalo
25 desanm	25-a de decembro
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	26-a de decembro
1962 (almanak gregoryen)	1962
14 out	14-a de aŭgusto
15 out	15-a de aŭgusto
13 out	13-a de aŭgusto
12 out	12-a de aŭgusto
11 out	11-a de aŭgusto
10 out	10-a de aŭgusto
8 out	8-a de aŭgusto
7 out	7-a de aŭgusto
9 out	9-a de aŭgusto
5 out	5-a de aŭgusto
4 out	4-a de aŭgusto
2 out	2-a de aŭgusto
3 out	3-a de aŭgusto
6 out	6-a de aŭgusto
1e out	1-a de aŭgusto
27 desanm	27-a de decembro
Madrid	Madrido
16 out	16-a de aŭgusto
29 out	29-a de aŭgusto
28 out	28-a de aŭgusto
30 out	30-a de aŭgusto
25 out	25-a de aŭgusto
26 out	26-a de aŭgusto
23 out	23-a de aŭgusto
27 out	27-a de aŭgusto
21 out	21-a de aŭgusto
20 out	20-a de aŭgusto
24 out	24-a de aŭgusto
18 out	18-a de aŭgusto
17 out	17-a de aŭgusto
22 out	22-a de aŭgusto
19 out	19-a de aŭgusto
31 out	31-a de aŭgusto
Michael Jackson	Michael Jackson
28 desanm	28-a de decembro
Bogota	Bogoto
Brazilia	Braziljo
15 septanm	15-a de septembro
14 septanm	14-a de septembro
13 septanm	13-a de septembro
12 septanm	12-a de septembro
8 septanm	8-a de septembro
11 septanm	11-a de septembro
7 septanm	7-a de septembro
10 septanm	10-a de septembro
5 septanm	5-a de septembro
4 septanm	4-a de septembro
9 septanm	9-a de septembro
2 septanm	2-a de septembro
6 septanm	6-a de septembro
1e septanm	1-a de septembro
3 septanm	3-a de septembro
29 desanm	29-a de decembro
Lima	Limo
30 septanm	30-a de septembro
29 septanm	29-a de septembro
28 septanm	28-a de septembro
27 septanm	27-a de septembro
26 septanm	26-a de septembro
25 septanm	25-a de septembro
Santyago	Santiago de Ĉilio
23 septanm	23-a de septembro
22 septanm	22-a de septembro
24 septanm	24-a de septembro
21 septanm	21-a de septembro
20 septanm	20-a de septembro
18 septanm	18-a de septembro
17 septanm	17-a de septembro
19 septanm	19-a de septembro
16 septanm	16-a de septembro
Kito	Kito
30 desanm	30-a de decembro
Sik	Sukro
31 desanm	31-a de decembro
