Afrika	Afriko
St. Vincent en die Grenadines	Sankta Vincento kaj Grenadinoj
Sink	Zinko
New Hampshire	Nov-Hampŝiro
St. Lucia	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
St. Kitts en Nevis	Sankta-Kito kaj Neviso
Swam	Fungoj
Jamaika	Jamajko
Grenada	Grenado (lando)
Friesland	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Gvatemalo
Gelderland	Gelderland
Utrecht (provinsie)	Utrecht (provinco)
Google Chrome	Google Chrome
Bahamas	Bahamoj
Connecticut	Konektikuto
Hoender	Koko
Antigua en Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Honduras	Honduro
Dominica	Dominiko
Jersey	Ĵersejo
Dominikaanse Republiek	Domingo
Vark	Porko
Arktiese Oseaan	Arkta Oceano
Haïti	Haitio
El Salvador	Salvadoro
Zwolle	Zwolle
Iran	Irano
Irak	Irako
Alaska	Alasko
Assen	Assen
Costa Rica	Kostariko
Israel	Israelo
Utrecht (munisipaliteit)	Utrecht
Panama	Panamo
Jemen	Jemeno
Lausanne	Laŭzano
Virus	Viruso (biologio)
Pools	Pola lingvo
Jordanië	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Kirgisië	Kirgizio
Arizona	Arizono
Koeweit	Kuvajto
Laos	Laoso
Libanon	Libano
Oregon	Oregono
Maledive	Maldivoj
Amerikas	Ameriko
Utah	Utaho
Bees	Bovo
Maleisië	Malajzio
Mianmar	Birmo
Nepal	Nepalo
Oman	Omano
Pakistan	Pakistano
Katar	Kataro
Tennis	Teniso
MySQL	MySQL
Saoedi-Arabië	Sauda Arabio
Andrei Tarkofski	Andrei Arsenjewitsch Tarkowski
Sri Lanka	Sri-Lanko
Josef Stalin	Josif Stalin
Sirië	Sirio
Plato	Platono
Gallium	Galiumo
Tadjikistan	Taĝikio
Pokémon	Pokemono
Republiek van Sjina	Respubliko Ĉinio
YouTube	YouTube
Germanium	Germaniumo
Aristoteles	Aristotelo
Thailand	Tajlando
Trein	Trajno
Arseen	Arseno
Radio	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Abakan	Abakan
Selenium	Seleno
Iridium	Iridio
Verenigde Arabiese Emirate	Unuiĝintaj Arabaj Emirlandoj
Broom	Bromo
Platinum	Plateno
Viëtnam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novosibirsko
Suid-Korea	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
The Simpsons	La Simpsonoj
Jekaterinburg	Jekaterinburg
Kripton	Kriptono
Afghanistan	Afganio
Nizjni Nowgorod	Niĵnij Novgorod
J.R.R. Tolkien	John Ronald Reuel Tolkien
Samara	Samara (urbo)
Rubidium	Rubidio
Goud	Oro
Omsk	Omsk
Suezkanaal	Sueza Kanalo
Kazan	Kazano
Bangladesj	Bangladeŝo
Franz Kafka	Franz Kafka
Tsjeljabinsk	Ĉeljabinsk
Rostof aan die Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Oefa	Ufa
Mali	Malio
Sokrates	Sokrato
Wolgograd	Volgogrado
Angola	Angolo
Perm	Permjo
Bhoetan	Butano
Twitter	Twitter
Krasnojarsk	Krasnojarsk
Broenei	Brunejo
Tanzanië	Tanzanio
Kwik	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filippyne	Filipinoj
Sentraal-Afrikaanse Republiek	Centr-Afrika Respubliko
Suidpool	Suda poluso
Noordpool	Norda poluso
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stronsium	Stroncio
Pedro I van Brasilië	Petro la 1-a (Brazilo)
Yttrium	Itrio
Bismut	Bismuto
Geel	Flava
Kwantummeganika	Kvantuma mekaniko
Togo	Togolando
Donald Tusk	Donald Tusk
Tunisië	Tunizio
Zambië	Zambio
Zimbabwe	Zimbabvo
Beijing	Pekino
Suid-Soedan	Sud-Sudano
Wladiwostok	Vladivostok
Tiwa	Tuvio
Benin	Benino
Botswana	Bocvano
Wikinews	Vikinovaĵoj
Burkina Faso	Burkino
Burundi	Burundo
Comore-eilande	Komoroj
Republiek van die Kongo	Respubliko Kongo
Alkmaar	Alkmaar
Ob	Obo
Demokratiese Republiek van die Kongo	Demokratia Respubliko Kongo
San Antonio	San Antonio (Teksaso)
Djiboeti	Ĝibutio
Meem	Memeo
Polonium	Polonio
Beiere	Bavario
Ekwatoriaal-Guinee	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
Nieu-Delhi	Nov-Delhio
Almelo	Almelo
Pous Johannes Paulus II	Johano Paŭlo la 2-a
Fjodor Dostojefski	Fjodor Dostojevskij
Amersfoort, Nederland	Amersforto
Kamtsjatka-skiereiland	Kamĉatko
Tbilisi	Tbiliso
Appingedam	Appingedam
Astaat	Astato
Gaboen	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Solidarność	Solidareco (Pollando)
Strokiesverhaal	Bildliteraturo
Gambië	Gambio
Guinee	Gvineo
Guinee-Bissau	Gvineo Bisaŭa
Ivoorkus	Ebur-Bordo
Kameroen	Kameruno
Kaap Verde	Kaboverdo
Lesotho	Lesoto
Liberië	Liberio
Libië	Libio
Aken	Aachen
Madagaskar	Madagaskaro
Malawi	Malavio
Stuttgart	Stutgarto
Mauritanië	Maŭritanio
Mauritius	Maŭricio
Marokko	Maroko
Mosambiek	Mozambiko
Namibië	Namibio
France Prešeren	France Prešeren
Niger	Niĝero
Nigerië	Niĝerio
Charles Darwin	Charles Darwin
Uganda	Ugando
Rwanda	Ruando
Sirkonium	Zirkonio
São Tomé en Príncipe	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Senegal	Senegalo
Seychelle	Sejŝeloj
Carolus Linnaeus	Karolo Lineo
Sierra Leone	Siera-Leono
Somalië	Somalio
Niobium	Niobio
Julius Caesar	Julio Cezaro
Soedan	Sudano
Swaziland	Svazilando
Reënboog	Ĉielarko
Molibdeen	Molibdeno
Tegnesium	Teknecio
Hamburg	Hamburgo
Ontariomeer	Ontario (lago)
Evolusie	Evoluismo
Verenigde Nasies	Unuiĝintaj Nacioj
Bowemeer	Supra Lago
Dante Alighieri	Dante Alighieri
Geologie	Geologio
Ahmedabad	Ahmadabado
Geografie	Geografio
Hart	Koro
Brein	Cerbo
Vel	Haŭto
Kleur	Koloro
Selfstandige naamwoord	Substantivo
Praag	Prago
Rutenium	Rutenio
Rodium	Rodio
Blou	Blua
Palladium	Paladio
Silwer	Arĝento
Kadmium	Kadmio
Star Trek	Star Trek
Limburg, Nederland	Limburgo (Nederlando)
Indium	Indio
Limburg, België	Limburgo (Belgio)
Tin	Stano
Uraan	Uranio
Antimoon	Antimono
Telluur	Teluro
Noord-Brabant	Norda Brabanto
Jodium	Jodo
Hemer	Hemer
Xenon	Ksenono
Sesium	Cezio
Elektriese lading	Elektra ŝargo
Barium	Bario
Wes-Vlaandere	Okcidenta Flandrio
Oos-Vlaandere	Orienta Flandrio
Antwerpen (provinsie)	Antverpeno (provinco)
Vlaams-Brabant	Flandra Brabanto
Hafnium	Hafnio
Aktinium	Aktinio
Waals-Brabant	Valona Brabanto
Tantaal	Tantalo
Bill Clinton	William J. Clinton
Namur (provinsie)	Namuro (provinco)
Luxemburg (provinsie)	Luksemburgo (Belgio)
Luik (provinsie)	Lieĝo (provinco)
Radium	Radiumo
Hainaut	Henegovio
Iserlohn	Iserlohn
Radon	Radono
Lotaringe	Loreno
Elsas	Alzaco
Indira Gandhi	Indira Gandhi
Hector Berlioz	Louis Hector Berlioz
Auvergne	Aŭvernjo
Moembaai	Mumbajo
Internasionale Vereniging van Atletiekfederasies	Internacia Asocio de Atletikaj Federacioj
Limburg	Limburg
Assam	Asamo
Bihar	Biharo
Michigan	Miĉigano
Michiganmeer	Miĉigano (lago)
Goa	Goao
Boergondië (gewes)	Burgonjo
Harjana	Harjano
Akwitanië	Akvitanio
Puerto Rico	Porto-Riko
Karnataka	Karnatako
Kerala	Keralao
Limousin	Limoĝio
Manipoer	Manipuro
Sleeswyk-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Voorpommere	Meklenburgo-Antaŭpomerio
Nedersakse	Malsupra Saksio
Noordryn-Wesfale	Nordrejn-Vestfalio
Hesse	Hesio
Rynland-Palts	Rejnlando-Palatinato
Saarland	Sarlando
Sakse	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thüringen	Turingio
Sakse-Anhalt	Saksio-Anhalto
Noord-Dakota	Norda Dakoto
Brandenburg	Brandenburgio
Vrye Hansestad Bremen	Libera hansa urbo Bremeno
Suid-Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piëmont	Piemonto
Jerusalem	Jerusalemo
Alster	Außenalster
Idaho	Idaho
Washington (deelstaat)	Vaŝingtonio
Nevada	Nevado
Don	Don (rivero)
Trentino-Suid-Tirool	Trentino-Alto Adige
Indiese Oseaan	Hinda Oceano
Kosowo	Kosovo
Karibiese See	Kariba Maro
Kofi Annan	Kofi Annan
Ligurië	Ligurio
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
Coloradorivier	Kolorado (rivero)
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Toskane	Toskanio
Leonard Cohen	Leonard Cohen
Umbrië	Umbrio
Kategorie:Alles	Kategorio:Ĉio
Latium	Latio
Abruzze	Abruco
Alpe	Alpoj
Karpate	Karpatoj
Grenoble	Grenoblo
Blaise Pascal	Blaise Pascal
Dortmund	Dortmund
Gent	Gento (urbo)
Chicago	Ĉikago
The Beatles	The Beatles
Flerovium	Flerovio
Wageningen	Wageningen
Ununoctium	Ununoktio
Maastricht	Maastricht
Arnhem	Arnhem
Dag-en-nag-ewening	Ekvinokso
Saddam Hoesein	Saddam Hussein
Osama bin Laden	Usama bin Laden
Spaans	Hispana lingvo
Friedrich August Hayek	Friedrich August von Hayek
Montevideo	Montevideo
Rimouski	Rimouski
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh (Pensilvanio)
Opera	Opero
Philadelphia	Filadelfio (Pensilvanio)
Kalkutta	Kolkato
Chennai	Ĉenajo
Delhi	Delhio
Dhaka	Dako
Bangalore	Bengaluro
Wes-Bengale	Okcident-Bengalo
Spinnekop	Araneuloj
Geleedpotiges	Artropodoj
Hyderabad, Indië	Hajderabado
Islamabad	Islamabado
Tripoera	Tripuro
Vrug	Frukto
Kategorie:Porto	Kategorio:Porto
Aap	Simio
Geld	Mono
Virginië	Virginio (ŝtato)
Wes-Virginië	Okcidenta Virginio
Huronmeer	Lago Hurono
New York (deelstaat)	Nov-Jorkio
Rhode Island	Rod-Insulo
Insek	Insekto
Maryland	Marilando
Delaware	Delavaro
Wladimir Lenin	Lenin
Europium	Eŭropio
Ohio	Ohio
Vergilius	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsilvanië	Pensilvanio
Uetersen	Uetersen
Augustus Octavianus	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	Nov-Ĵerzejo
Caligula	Kaligulo
Gibraltar	Ĝibraltaro
Claudius	Klaŭdio
Fins	Finna lingvo
Nero	Nerono
Galba (keiser)	Galbo
Indiana	Indianio
Nokia	Nokia (kompanio)
Vespasianus	Vespasiano
Motorvoertuig	Aŭtomobilo
Juventus Football Club	Juventus Football Club
Domitianus	Domiciano
Trajanus	Trajano
Roger Federer	Roger Federer
Hadrianus	Hadriano
Georgia	Georgio
Antoninus Pius	Antonino Pia
Markus Aurelius	Marko Aŭrelio
KDE	KDE
Commodus	Komodo (imperiestro)
Zagreb	Zagrebo
Kampanië	Kampanio
Texas	Teksaso
Septimius Severus	Septimo Severo
Tamil Nadu	Tamilnado
Genua	Ĝenovo
Noord-Carolina	Norda Karolino
Hokkie	Herbohokeo
Suid-Carolina	Suda Karolino
Kalabrië	Kalabrio
Sisilië	Sicilio
Manila	Manilo
Sardinië	Sardio
Ferdinand Marcos	Ferdinand Marcos
Cebu Stad	Cebuurbo
Loire (rivier)	Luaro
Seine	Sejno
Davao Stad	Davao (urbo)
Quezon Stad	Kezonurbo
Le Mans	Le Mans
Caloocan	Kalukano
Bordeaux	Bordeaux
Buenos Aires	Bonaero
Meksikostad	Meksik-urbo
Tokio	Tokio
La Paz	La-Pazo
Barcelona	Barcelono
Pynappel	Ananaso
Mississippi	Misisipio
Ferdinand Magellaan	Fernão de Magalhães
Mississippirivier	Misisipo (rivero)
Oetarpradesj	Utar-Pradeŝo
José Rizal	José Rizal
Swembad	Banejo
Sikkim	Sikimo
Patagonië	Patagonio
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Abidjan	Abiĝano
Aboe Dhabi	Abu-Dabio
Astana	Astano
Nieu-Meksiko	Nov-Meksiko
Ramses II	Ramseso la 2-a
Athene	Ateno
Minnesota	Minesoto
Bagdad	Bagdado
Caracas	Karakaso
Gekoördineerde Universele Tyd	UTC
Wisconsin	Viskonsino
Pune	Puneo
Cicero	Cicerono
AC Milan	A.C. Milan
Iowa	Iovao
Nebraska	Nebrasko
Guatemala-stad	Gvatemalurbo
Kansas	Kansaso
Havana	Havano
Tabak	Tabako
Hindi	Hindia lingvo
Marathi	Marata lingvo
Windows Internet Explorer	Internet Explorer
Sigaret	Cigaredo
Ganesja	Ganeŝo
Missouri	Misurio
Louisiana	Luiziano
Nagaland	Nagalando
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
Oerdoe	Urduo
Édith Piaf	Édith Piaf
Elbe	Elbo (rivero)
Rijeka	Rijeko
Eems	Emso
Oklahoma	Oklahomo
Weser	Weser
Donau	Danubo
Gedig	Verso
Jacques Brel	Jacques Brel
Main	Majno (rivero)
Neckar	Neckar
Havel	Havel
Noordsee	Norda Maro
Skagerrak	Skagerrak
Moskou-oblast	Moskva provinco
Kiel, Duitsland	Kilo (urbo)
Schwerin	Schwerin
Potsdam	Potsdamo
Hannover	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
München	Munkeno
Samara-oblast	Samara provinco (Rusio)
Erfurt	Erfurto
Dresden	Dresdeno
Maagdenburg	Magdeburgo
Vlugbal	Flugpilkado
Innsbruck	Innsbruck
Bregenz	Bregenz
Wene	Vieno
Madonna	Madonna
Kopenhagen	Kopenhago
Kaliningrad-oblast	Kaliningrada provinco
Stockholm	Stokholmo
Helsinki	Helsinko
Moermansk-oblast	Murmanska provinco
Dublin	Dublino
Moermansk	Murmansko
Reykjavik	Rejkjaviko
Tallinn	Talino
Epitaaf	Epitafo
Riga	Rigo
Zanzibar	Zanzibaro
Bratislava	Bratislavo
Boedapest	Budapeŝto
Charles Aznavour	Charles Aznavour
Gdansk	Gdańsk
Frankfurt am Main	Frankfurto ĉe Majno
Wrocław	Vroclavo
Lantaan	Lantano
Astronomiese eenheid	Astronomia unuo
