Àfrica	Afriko
Japó	Japanio
Amèrica del Sud	Sudameriko
Noruega	Norvegio
Anglaterra	Anglio
Escòcia	Skotlando
Gal·les	Kimrio
Irlanda del Nord	Nord-Irlando
República d'Irlanda	Irlando
Hongria	Hungario
Espanya	Hispanio
Estats Units d'Amèrica	Usono
Bèlgica	Belgio
Luxemburg	Luksemburgo (lando)
Univers	Universo
Terra	Tero
Vida	Vivo
Mort	Morto
Humà	Homo
Felicitat	Feliĉo
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Nombre de la bèstia	Nombro de la bestio
Leet	Leet
Paul Otlet	Paul Otlet
Stanley Kubrick	Stanley Kubrick
Calendari maia	Majaa kalendaro
Wikidata	Vikidatumoj
Finlàndia	Finnlando
Suècia	Svedio
Dinamarca	Danio
Polònia	Pollando
Lituània	Litovio
Itàlia	Italio
Suïssa	Svislando
Àustria	Aŭstrio
Grècia	Grekio
Turquia	Turkio
Cervesa	Biero
Portugal	Portugalio
Europa	Eŭropo
Àsia	Azio
Amèrica del Nord	Nordameriko
Antàrtida	Antarkto
Viquipèdia	Vikipedio
All your base are belong to us	All your base are belong to us
Països Baixos	Nederlando
Penis	Peniso
PHP	PHP
Nova York	Novjorko
Washington DC	Vaŝingtono
San Francisco	San-Francisko
Berlín	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Ordinador	Komputilo
Berna	Berno
Ginebra	Ĝenevo
Zuric	Zuriko
IRC	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Uruguai	Urugvajo
Basilea	Bazelo
Impressora	Presilo
MediaWiki	MediaVikio
Londres	Londono
El Caire	Kairo
Cefalàlgia	Kapdoloro
Alexandria	Aleksandrio
Alexandria (Virgínia)	Alexandria (Virginio)
Poma	Pomo
París	Parizo
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mèxic	Meksiko
Oceà Atlàntic	Atlantika Oceano
Oceà Pacífic	Pacifika Oceano
Califòrnia	Kalifornio
Boston	Bostono
