Africa	Afriko
Xapon	Japanio
Ixachitlān Huitztlāmpa	Sudameriko
Noruega	Norvegio
Inglatlālpan	Anglio
Wales	Kimrio
Irtlālpan	Irlando
Hungria	Hungario
Caxtillān	Hispanio
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	Usono
Belgica	Belgio
Luxemburgo	Luksemburgo (lando)
Cemānāhuac	Universo
Tlālticpactli	Tero
Miquiztli	Morto
Tlācatl	Homo
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finnlando
Suecia	Svedio
Dinamarca	Danio
Polonia	Pollando
Lituania	Litovio
Italia	Italio
Suiza	Svislando
Austria	Aŭstrio
Grecia	Grekio
Turquia	Turkio
Portugal	Portugalio
Europan	Eŭropo
Asia	Azio
Ixachitlān Mictlāmpa	Nordameriko
Antartida	Antarkto
Huiquipedia	Vikipedio
Tlanitlālpan	Nederlando
Tepōlli	Peniso
Āltepētl Yancuīc York	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco, California	San-Francisko
Berlin	Berlino
Los Ángeles	Los-Anĝeleso
Chīuhpōhualhuaztli	Komputilo
Berna	Berno
Zurich	Zuriko
Mātlatzālantli	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Londres	Londono
In Cairo	Kairo
Alexandria	Aleksandrio
Manzana	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Google	Google
Mēxihco	Meksiko
Ilhuicaātl Atlántico	Atlantika Oceano
Tēpāpāquiltiliztli Ilhuicaātl	Pacifika Oceano
California	Kalifornio
Mētztlitōnal	Lundo
Ic cē mētztli	Januaro
Ic ōme mētztli	Februaro
Ic ēyi mētztli	Marto
Chīchīlcītlalli	Marso
Quenia	Kenjo
Etiopia	Etiopio
Ghana	Ganao
Ic nāuhtetl mētztli	Aprilo
Ic mācuīlli mētztli	Majo
Ic chicuacen mētztli	Junio
Ic chicōme mētztli	Julio
Ic chicuēyi mētztli	Aŭgusto
Ic chiucnāhui mētztli	Septembro
Ic mahtlāctetl mētztli	Oktobro
Ic mahtlāctetl oncē mētztli	Novembro
Ic mahtlāctetl omōme mētztli	Decembro
Huītzilōpōchtōnal	Mardo
Yacatlipotōnal	Merkredo
Tezcatlipotōnal	Ĵaŭdo
Quetzalcōātōnal	Vendredo
Tlāloctitōnal	Sabato
Tōnatiuhtōnal	Dimanĉo
Cuāmiztli	Leono
Francia	Francio
Esperantotlahtōlli	Esperanto
Itzcuintli	Hundo
Tlacetilīlli Huēyitlahtohcāyōtl	Unuiĝinta Reĝlando
Miztōn	Hejma kato
China	Ĉina Popola Respubliko
Franciatlahtōlli	Franca lingvo
Michin	Fiŝoj
Octli	Alkoholaĵo
Brasil	Brazilo
Rusia	Rusio
Huēyātl	Maro
Π	Pio (litero)
Wiki	Vikio
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
São Paulo (tlahtohcāyōtl)	San-Paŭlo
Quebec	Kebekio
Jimmy Wales	Jimmy Wales
Alemania	Germanio
Belarus	Belorusio
Alemantlahtōlli	Germana lingvo
Iztlālpan	Islando
Estonia	Estonio
Tzitzimicītlalli	Saturno (planedo)
Xocolātl	Ĉokolado
Tepoztōtōtl	Aviadilo
Cē (tlapōhualli)	1 (nombro)
Ōme	2 (nombro)
Ēyi	3 (nombro)
Nāhui	4 (nombro)
Mācuīlli	5 (nombro)
George W. Bush	George W. Bush
Letonia	Latvio
Ucrania	Ukrainio
Chequia	Ĉeĥio
Eslovaquia	Slovakio
Eslovenia	Slovenio
Vilnius	Vilno
Moldova	Moldava Respubliko
Rumania	Rumanio
Bulgaria	Bulgario
Roma	Romo
Tlācatlahtohcāyōtl Macedonia	Respubliko Makedonio
Albania	Albanio
Groentlālpan	Gronlando
Croacia	Kroatio
Bosnia īhuān Hertzegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbaiyan	Azerbajĝano
Andorra	Andoro
Chipre	Kipro
Georgia	Kartvelio
Cazaquistan	Kazaĥio
Malta	Malto
Flandes	Flandrio
Monaco	Monako
Tlīltepēc	Montenegro
In Vaticano	Vatikano
San Marino	San-Marino
Brusel	Bruselo
Cuba	Kubo
Belice	Belizo
Eiffel Huehcapan Calli	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Indonesia	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Africa Huitztlāmpa	Sud-Afriko
Argelia	Alĝerio
Uzbequistan	Uzbekujo
Poznan	Poznano
Varsovia	Varsovio
Modena	Modeno
Huino	Vino
Ātl	Akvo
Huehcaīxipcaxitl	Televido
Iztlahtōlli	Islanda lingvo
Chile	Ĉilio
Jesucristo	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Payīnalcītlalli	Merkuro (planedo)
Huēhuehcāyōmatiliztli	Historio
Apple Computer	Apple
Cītlalpōl	Venuso (planedo)
Tlahtōlli (tlahtōlmatiliztli)	Lingvo
Tlazohtiliztli	Amo
Huēyitzitzimicītlalli	Jupitero (planedo)
Cītlalin īcue (Ilhuicamatiliztli)	Lakta vojo
Ilhuicateōcītlalli	Urano (planedo)
Ricardo Lagos	Ricardo Lagos
Tlāloccītlalli	Neptuno (planedo)
Ilhuicamatiliztli	Astronomio
Singapur	Singapuro
Tlamatiliztli	Scienco
Mictlāntēuccītlalli	Plutono
María Ichpōchtli	Maria (patrino de Jesuo)
Liechtenstein	Liĥtenŝtejno
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Īyāōyo in Cemānāhuac Inic Cē	Unua mondmilito
Īyāōyo in Cemānāhuac Inic Ōme	Dua mondmilito
Köln	Kolonjo
Vodka	Vodko
Tlapōhualtepoztli	Horloĝo
Tlapōhualmatiliztli	Matematiko
U2 (tlacuīcaliztli)	U2
Latintlahtōlli	Latina lingvo
Bahrein	Barejno
Armenia	Armenio
Serbia	Serbio
Mētztli	Luno
Estambul	Istanbulo
Australia	Aŭstralio
Carl Sagan	Carl Sagan
Iuhcāyōtl	Fiziko
Argentina	Argentino
Peru	Peruo
Yōlizmatiliztli	Biologio
Corea Mictlāmpa	Nord-Koreio
Camboya	Kamboĝo
Tēpouhtitlāzcuetzpalin	Dinosaŭro
Islam	Islamo
Pera	Pirarbo
Liubliana	Ljubljano
Tlanelhuayōmatiliztli	Plantoscienco
Malacatl	Rado
Denis Diderot	Denis Diderot
Lyon	Liono
Europan Cētiliztli	Eŭropa Unio
Cihuātl	Virino
Sofiya	Sofio
Ñ	Ñ
El Ingenioso Hidalgo Don Quixote de la Mancha	Kiĥoto
Xōchicuīcayōtl	Poezio
Milano	Milano
Torino	Torino
Cuichilli	Anuso
Limacuahuitl	Citrono
Émile Zola	Émile Zola
666	666
Xōchitl	Floro
Āltepētl	Urbo
Cītlalli	Stelo
Tōnatiuh	Suno
