Africa	Afriko
Iaponia	Japanio
America Australis	Sudameriko
Norvegia	Norvegio
Anglia	Anglio
Scotia	Skotlando
Cambria	Kimrio
Hibernia Septentrionalis	Nord-Irlando
Hibernia (res publica)	Irlando
Hungaria	Hungario
Hispania	Hispanio
Civitates Foederatae Americae	Usono
Belgica	Belgio
Luxemburgum	Luksemburgo (lando)
Universum	Universo
Tellus (planeta)	Tero
Vita	Vivo
Mors	Morto
Homo sapiens	Homo
Felicitas	Feliĉo
Georgius Washingtonius	George Washington
Duglassius Adams	Douglas Adams
Timotheus Ioannes Berners-Lee	Tim Berners-Lee
Sescenti sexaginta sex	Nombro de la bestio
Stanley Kubrick	Stanley Kubrick
Calendarium Mayense	Majaa kalendaro
Finnia	Finnlando
Suecia	Svedio
Dania	Danio
Polonia	Pollando
Lituania	Litovio
Italia	Italio
Helvetia	Svislando
Austria	Aŭstrio
Graecia	Grekio
Turcia	Turkio
Cervesia	Biero
Portugallia	Portugalio
Europa	Eŭropo
Asia	Azio
America Septentrionalis	Nordameriko
Antarctica	Antarkto
Vicipaedia	Vikipedio
All your base are belong to us	All your base are belong to us
Nederlandia	Nederlando
Penis	Peniso
PHP	PHP
Novum Eboracum (urbs)	Novjorko
Vasingtonia (D.C.)	Vaŝingtono
Franciscopolis (California)	San-Francisko
Berolinum	Berlino
Angelopolis	Los-Anĝeleso
Airbus	Airbus
Computatrum	Komputilo
Berna (urbs)	Berno
Genava	Ĝenevo
Turicum (urbs)	Zuriko
Interrete	Interreto
Baracus Obama	Barack Obama
Uraquaria	Urugvajo
Basilea	Bazelo
Typographum	Presilo
MediaVici	MediaVikio
Londinium	Londono
Cairus	Kairo
Capitis dolor	Kapdoloro
Alexandria	Aleksandrio
Malum	Pomo
Lutetia	Parizo
Abrahamus Lincoln	Abraham Lincoln
Google	Google
Mexicum	Meksiko
Oceanus Atlanticus	Atlantika Oceano
Oceanus Pacificus	Pacifika Oceano
California	Kalifornio
Bostonia	Bostono
Dies lunae	Lundo
Spatium	Spaco
Ianuarius	Januaro
Februarius	Februaro
Martius	Marto
Mars (planeta)	Marso
Mars (deus)	Marso (dio)
Kenia	Kenjo
Aethiopia	Etiopio
Gana	Ganao
Aprilis	Aprilo
Maius	Majo
Iunius	Junio
Iulius	Julio
Sextilis	Aŭgusto
September	Septembro
October	Oktobro
November	Novembro
December	Decembro
Dies Martis	Mardo
Dies Mercurii	Merkredo
Dies Iovis	Ĵaŭdo
Dies Veneris	Vendredo
Dies Saturni	Sabato
Dies solis	Dimanĉo
Episcopus (scacci)	Kuriero (ŝako)
Pedes (scacci)	Peono (ŝako)
Equus (scacci)	Ĉevalo (ŝako)
Turris (scacci)	Turo (ŝako)
Rex (scacci)	Reĝo (ŝako)
Regina (scacci)	Damo (ŝako)
Leo	Leono
Francia	Francio
