Afraga	Afriko
An t-Seapan	Japanio
Aimearaga a Deas	Sudameriko
Nirribhidh	Norvegio
Sasainn	Anglio
Alba	Skotlando
A' Chuimrigh	Kimrio
Èirinn a Tuath	Nord-Irlando
Poblachd na h-Èireann	Irlando
An Ungair	Hungario
An Spàinn	Hispanio
Na Stàitean Aonaichte	Usono
A' Bheilg	Belgio
Lucsamburg	Luksemburgo (lando)
Saoghal	Tero
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Suòmaidh	Finnlando
An t-Suain	Svedio
An Danmhairg	Danio
A' Phòlainn	Pollando
Liotuàinia	Litovio
An Eadailt	Italio
An Eilbheis	Svislando
An Ostair	Aŭstrio
A' Ghrèig	Grekio
An Tuirc	Turkio
Leann	Biero
A' Phortagail	Portugalio
An Roinn-Eòrpa	Eŭropo
Àisia	Azio
Aimearaga a Tuath	Nordameriko
Antargtaga	Antarkto
Uicipeid	Vikipedio
Na Tìrean Ìsle	Nederlando
Bod	Peniso
Eabhraig Nuadh (baile)	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Coimpiutair	Komputilo
Berne	Berno
Geneva	Ĝenevo
Zürich	Zuriko
Eadar-lìon	Interreto
Barack Obama	Barack Obama
Uruguaidh	Urugvajo
Basel	Bazelo
Lunnainn	Londono
Cairo	Kairo
Alexandria, Virginia	Alexandria (Virginio)
Ubhal	Pomo
Paris	Parizo
Abraham Lincoln	Abraham Lincoln
Meagsago	Meksiko
Cuan Siar	Atlantika Oceano
Cuan Sèimh	Pacifika Oceano
Calafòrnia	Kalifornio
Boston, Massachusetts	Bostono
Di-Luain	Lundo
Am Faoilleach	Januaro
An Gearran	Februaro
Am Màrt	Marto
Corg	Marso
A' Cheinia	Kenjo
An Aetiòp	Etiopio
Gàna	Ganao
An Giblean	Aprilo
An Cèitean	Majo
An t-Ògmhios	Junio
An t-Iuchar	Julio
An Lùnastal	Aŭgusto
An t-Sultain	Septembro
An Dàmhair	Oktobro
An t-Samhain	Novembro
An Dùbhlachd	Decembro
Di-Màirt	Mardo
Di-Ciadain	Merkredo
Di-Ardaoin	Ĵaŭdo
Di-haoine	Vendredo
Di-Sathairne	Sabato
Di-Dòmhnaich	Dimanĉo
Leòmhann	Leono
An Fhraing	Francio
Esperanto	Esperanto
Cù	Hundo
An Rìoghachd Aonaichte	Unuiĝinta Reĝlando
Cat	Hejma kato
Sluagh-Phoblachd na Sìne	Ĉina Popola Respubliko
Fraingis	Franca lingvo
Iasg	Fiŝoj
Braisil	Brazilo
Alcol	Alkoholo
François Hollande	François Hollande
An Ruis	Rusio
Muc-mhara	Cetacoj
Muir	Maro
Am Muir Dubh	Nigra Maro
Pi	Pio (litero)
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Quebec	Kebekio
Wikimedia	Fondaĵo Vikimedio
A' Ghearmailt	Germanio
A' Bhealaruis	Belorusio
Gearmailtis	Germana lingvo
Innis Tìle	Islando
Dia	Dio
Eastòinia	Estonio
David Cameron	David Cameron
Satarn	Saturno (planedo)
Teòclaid	Ĉokolado
Cogadh	Milito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
An Laitbhe	Latvio
An Ucràin	Ukrainio
An t-Seic	Ĉeĥio
An t-Slòbhac	Slovakio
Sloibhìnia	Slovenio
Vilnius	Vilno
Moldàibhia	Moldava Respubliko
Romàinia	Rumanio
Bulgàiria	Bulgario
An Ròimh	Romo
Masadoinia	Respubliko Makedonio
Albàinia	Albanio
A' Ghraonlainn	Gronlando
Poblachd na Cròthaise	Kroatio
Bosna agus Hearsagobhana	Bosnio kaj Hercegovino
Asarbaideàn	Azerbajĝano
Andorra	Andoro
Cìopras	Kipro
A' Chairtbheil	Kartvelio
Casachstàn	Kazaĥio
Malta	Malto
Monaco	Monako
Am Monadh Neagrach	Montenegro
Cathair na Bhatacain	Vatikano
San Marino	San-Marino
A' Bhruiseal	Bruselo
Cùba	Kubo
Beilise	Belizo
Barbados	Barbado
An Innd-Innse	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turcais	Turka lingvo
Afraga a Deas	Sud-Afriko
Aildiria	Alĝerio
Usbagastàn	Uzbekujo
Poznań	Poznano
Tashkent	Taŝkento
Warszawa	Varsovio
Ìle	Islay
Eurovision	Eŭrovido-Kantokonkurso
Uisge-beatha	Viskio
Fìon	Vino
Uisge	Akvo
Fiodh	Ligno
Tours	Tours
Telebhisean	Televido
An t-Sile	Ĉilio
Ìosa Crìosd	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Mearcair	Merkuro (planedo)
Eachdraidh	Historio
An Rìbhinn (planaid)	Venuso (planedo)
Cànan	Lingvo
Gràdh	Amo
Am Bliogh	Jupitero (planedo)
Slighe Chloinn Uisnich	Lakta vojo
Urànus (planaid)	Urano (planedo)
A' Bhreatainn Bheag	Bretonio
Nicolas Sarkozy	Nicolas Sarkozy
Neiptiùn	Neptuno (planedo)
Reul-eòlas	Astronomio
Singeapòr	Singapuro
Saidheans	Scienco
Pliùtò	Plutono
Montreal	Montrealo
Kemper	Quimper
Tràth teachdail	Estonteco
Moire	Maria (patrino de Jesuo)
Liechtenstein	Liĥtenŝtejno
Spòrs	Sporto
Cambridge	Kembriĝo (Britio)
Adolf Hitler	Adolf Hitler
Wikileaks	WikiLeaks
An Cogadh Mòr	Unua mondmilito
An Dàrna Cogadh	Dua mondmilito
Köln	Kolonjo
Skopje	Skopjo
Szczecin	Szczecin
Matamataig	Matematiko
U2	U2
Laideann	Latina lingvo
Bachrain	Barejno
Airmeinia	Armenio
An t-Sèirb	Serbio
Gealach	Luno
Istanbul	Istanbulo
Astràilia	Aŭstralio
Fiosaig	Fiziko
An Argantain	Argentino
Cian-chonaltradh	Telekomunikado
Pearù	Peruo
Bith-eòlas	Biologio
Coirèa a Tuath	Nord-Koreio
Cambuidea	Kamboĝo
Ioslam	Islamo
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Cuibhle	Rado
Lyon	Liono
An t-Aonadh Eòrpach	Eŭropa Unio
Star Wars	Star Wars
Rhône-Alpes	Rodano-Alpoj
Bean	Virino
Sofia	Sofio
Amar-uisge	Akvedukto
Bàrdachd	Poezio
Chernobyl	Nuklea akcidento de Ĉernobilo
Milano	Milano
Torino	Torino
Cac	Fekaĵo
Achlais	Akselo
Liomaid	Citrono
Stendhal	Stendhal
Banana	Banano
Émile Zola	Émile Zola
666	666
Blàth	Floro
Beinn Everest	Ĉomolungmo
Eòlas-bodhaig	Anatomio
Baile mòr	Urbo
Napoleon Bonaparte	Napoleono Bonaparte
Reul	Stelo
Grian	Suno
Adhar	Ĉielo
Louis Pasteur	Louis Pasteur
Clachan	Vilaĝo
Victor Hugo	Victor Hugo
Roinn a' Chuain Shèimh	Oceanio
An Crios-Grèine	Sunsistemo
Am Muir Baltach	Balta Maro
Haidridean	Hidrogeno
Ifrinn	Infero
Angela Merkel	Angela Merkel
Leabhar	Libro
Là	Tago
Tiomor an Ear	Orienta Timoro
Oidhche	Nokto
Bliadhna	Jaro
Linn (100 bliadhnaichean)	Jarcento
Łódź	Lodzo
Oslo	Oslo
Bonn (a' Ghearmailt)	Bonn
Katowice	Katowice
Toll Dubh	Nigra truo
Luís Vaz de Camões	Luís Vaz de Camões
Lisbon	Lisbono
Padova	Padovo
Nicolaus Copernicus	Koperniko
Ludwigsburg	Ludwigsburg
Gualan	Karbono
Naitridean	Nitrogeno
Bergamo	Bergamo
Ogsaidean	Oksigeno
Planaid	Planedo
Cleopatra	Kleopatra
Ceòl	Muziko
Venezia	Venecio
Roazhon	Rennes
Lille	Lille
Moscobha	Moskvo
Eadailtis	Itala lingvo
Sankt Peterburg	Sankt-Peterburgo
An t-Siad	Ĉado
Sodium	Natrio
Almain	Aluminio
Sealainn Nuadh	Nov-Zelando
Na h-Innseachan	Barato
