Áfríkà	Afriko
Japan	Japanio
Gúúsù Amẹ́ríkà	Sudameriko
Nọ́rwèy	Norvegio
Ilẹ̀gẹ̀ẹ́sì	Anglio
Skọ́tlándì	Skotlando
Wélsì	Kimrio
Írẹ́lándì Apáàríwá	Nord-Irlando
Írẹ́lándì	Irlando
Húngárì	Hungario
Spéìn	Hispanio
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Usono
Bẹ́ljíọ̀m	Belgio
Lúksẹ́mbọ̀rg	Luksemburgo (lando)
Ayé	Tero
Ọmọnìyàn	Homo
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finnlando
Swídìn	Svedio
Dẹ́nmárkì	Danio
Pólàndì	Pollando
Lituéníà	Litovio
Itálíà	Italio
Swítsàlandì	Svislando
Austríà	Aŭstrio
Gríìsì	Grekio
Túrkì	Turkio
Pọ́rtúgàl	Portugalio
Europe	Eŭropo
Ásíà	Azio
Àríwá Amẹ́ríkà	Nordameriko
Antárktìkà	Antarkto
Wikipedia	Vikipedio
Nẹ́dálándì	Nederlando
New York	Novjorko
Washington, D.C.	Vaŝingtono
San Francisco	San-Francisko
Berlin	Berlino
Los Angeles	Los-Anĝeleso
Kọ̀mpútà	Komputilo
Berne	Berno
Geneva	Ĝenevo
Zürich	Zuriko
Internet Relay Chat	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Urugúáì	Urugvajo
MediaWiki	MediaVikio
Lọndọnu	Londono
Káírò	Kairo
Parisi	Parizo
Abraham Lincoln	Abraham Lincoln
Google	Google
Mẹ́ksíkò	Meksiko
Òkun Atlántíkì	Atlantika Oceano
Òkun Pàsífíkì	Pacifika Oceano
Kalifọ́rníà	Kalifornio
Boston	Bostono
Ọjọ́ Ajé	Lundo
Oṣù Kínní	Januaro
Oṣù Kejì	Februaro
Oṣù Kẹta	Marto
Mársì	Marso
Kẹ́nyà	Kenjo
Ethiópíà	Etiopio
Ghánà	Ganao
Oṣù Kẹrin	Aprilo
Oṣù Kàrún	Majo
Oṣù Kẹfà	Junio
Oṣù Keje	Julio
Oṣù Kẹjọ	Aŭgusto
Oṣù Kẹ̀sán	Septembro
Oṣù Kẹ̀wá	Oktobro
Oṣù Kọkànlá	Novembro
Oṣù Kejìlá	Decembro
Ọjọ́ Ìsẹ́gun	Mardo
Ọjọ́rú	Merkredo
Ọjọ́bọ̀	Ĵaŭdo
Ọjọ́ Ẹtì	Vendredo
Ọjọ́ Àbámẹ́ta	Sabato
Ọjọ́ Àìkú	Dimanĉo
Kìnìún	Leono
Fránsì	Francio
Èdè Esperanto	Esperanto
Ajá	Hundo
Ilẹ̀ọba Aṣọ̀kan	Unuiĝinta Reĝlando
Ológbò	Hejma kato
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Ĉina Popola Respubliko
Èdè Faransé	Franca lingvo
Brasil	Brazilo
Ọtí	Alkoholo
François Hollande	François Hollande
Rọ́síà	Rusio
Alọ́poméjì	Kvadrato (geometrio)
Òkun Dúdú	Nigra Maro
Pi	Pi (nombro)
Wiki	Vikio
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Sao Paulo (ìpínlẹ̀)	San-Paŭlo
Wikimedia	Fondaĵo Vikimedio
Jẹ́mánì	Germanio
Bẹ̀lárùs	Belorusio
Il Canto degli Italiani	Il Canto degli Italiani
Èdè Jẹ́mánì	Germana lingvo
Íslándì	Islando
Ọlọ́run	Dio
Estóníà	Estonio
David Cameron	David Cameron
Sátúrnù	Saturno (planedo)
Ọkọ̀ òfurufú	Aviadilo
Ogun	Milito
1 (nọ́mbà)	1 (nombro)
2 (nọ́mbà)	2 (nombro)
3 (nọ́mbà)	3 (nombro)
4 (nọ́mbà)	4 (nombro)
5 (nọ́mbà)	5 (nombro)
0 (nọ́mbà)	Nulo
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Latvio
Ukréìn	Ukrainio
Tsẹ́kì Olómìnira	Ĉeĥio
Slofákíà	Slovakio
Sloféníà	Slovenio
Filnius	Vilno
Móldófà	Moldava Respubliko
Románíà	Rumanio
Bùlgáríà	Bulgario
Rómù	Romo
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Respubliko Makedonio
Albáníà	Albanio
Grínlándì	Gronlando
Kroatíà	Kroatio
Bósníà àti Hẹrjẹgòfínà	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbaijan	Azerbajĝano
Àndórà	Andoro
Kíprù	Kipro
Georgia	Kartvelio
Kàsàkstán	Kazaĥio
Máltà	Malto
Mónakò	Monako
Montenẹ́grò	Montenegro
Ìlú Fatikan	Vatikano
San Màrínò	San-Marino
Kúbà	Kubo
Bẹ̀lísè	Belizo
Bárbádọ̀s	Barbado
Indonésíà	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Turka lingvo
Gúúsù Áfríkà	Sud-Afriko
Àlgéríà	Alĝerio
Wikisource	Vikifontaro
Ùsbẹ̀kìstán	Uzbekujo
Tashkent	Taŝkento
Warsaw	Varsovio
Omi	Akvo
Tẹlifísàn	Televido
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tsílè	Ĉilio
Jésù	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilejo
Mẹ́rkúríù (plánẹ̀tì)	Merkuro (planedo)
Ìtàn	Historio
Apple Inc.	Apple
Àgùàlà	Venuso (planedo)
Èdè	Lingvo
Júpítérì	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Úránù	Urano (planedo)
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Neptuno (planedo)
Ìtòràwọ̀	Astronomio
Singapore	Singapuro
Sáyẹ́nsì	Scienco
Plùtò	Plutono
Màríà (ìyá Jésù)	Maria (patrino de Jesuo)
Louis 9k ilẹ̀ Fránsì	Ludoviko la 9-a (Francio)
Líktẹ́nstáìnì	Liĥtenŝtejno
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Unua mondmilito
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Dua mondmilito
Ìwàìbàjẹ́	Korupto
Augusto Pinochet	Augusto Pinochet
Skopje	Skopjo
Bob Dylan	Bob Dylan
Mathimátíkì	Matematiko
Èdè Látìnì	Latina lingvo
Báháráìnì	Barejno
Arméníà	Armenio
Bósónì Higgs	Bosono de Higgs
Sérbíà	Serbio
Òṣùpá	Luno
Istanbul	Istanbulo
Austrálíà	Aŭstralio
Bob Marley	Bob Marley
Físíksì	Fiziko
Argẹntínà	Argentino
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telekomunikado
Perú	Peruo
Kòréà Àríwá	Nord-Koreio
Kàmbódíà	Kamboĝo
Kùránì	Korano
Ìmàle	Islamo
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Eŭropa Unio
Obìnrin	Virino
Sofia	Sofio
Ewì	Poezio
Ọ̀gẹ̀dẹ̀	Banano
Émile Zola	Émile Zola
666	666
Ìlú	Urbo
Napoleon Bonaparte	Napoleono Bonaparte
Ìràwọ̀	Stelo
Òrùn	Suno
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Oceanio
Sístẹ̀mù Òrùn	Sunsistemo
Háídrójìn	Hidrogeno
Hílíọ̀mù	Heliumo
Wikimedia Commons	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Lítíọ̀mù	Litio
Bẹ́rílíọ̀mù	Berilio
Ìwé	Libro
Ọjọ́	Tago
Ìlàòrùn Timor	Orienta Timoro
Ọdún	Jaro
Ọ̀rúndún	Jarcento
Oslo	Oslo
Lisbon	Lisbono
Dubai	Dubajo
Bórọ̀nù	Boro
Nicolaus Copernicus	Koperniko
Kárbọ̀nù	Karbono
Nítrójìn	Nitrogeno
Ọ́ksíjìn	Oksigeno
Plánẹ̀tì	Planedo
Cleopatra 7k	Kleopatra
Orin	Muziko
Lille	Lille
Mọsko	Moskvo
Fluorínì	Fluoro
Nẹ́ọ̀nù	Neono
Saint Petersburg	Sankt-Peterburgo
Tsad	Ĉado
Sódíọ̀mù	Natrio
Àríwá	Nordo
Magnésíọ̀mù	Magnezio
Alumíníọ̀mù	Aluminio
New Zealand	Nov-Zelando
Índíà	Barato
Sílíkọ́nù	Silicio
Fránsíọ̀m	Franciumo
Tufalu	Tuvalo
Fósfórù	Fosforo
André-Marie Ampère	André-Marie Ampère
Iron	Fero
Tóngà	Tongo
Alessandro Volta	Alessandro Volta
Súlfúrù	Sulfuro
Sàmóà	Samoo
Àwọn Erékùsù Sólómọ́nì	Salomonoj
