ఆఫ్రికా	Afriko
జపాన్	Japanio
దక్షిణ అమెరికా	Sudameriko
నార్వే	Norvegio
ఇంగ్లాండు	Anglio
స్కాట్లాండ్	Skotlando
వేల్స్	Kimrio
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	Irlando
హంగేరి	Hungario
స్పెయిన్	Hispanio
అమెరికా సంయుక్త రాష్ట్రాలు	Usono
బెల్జియం	Belgio
విశ్వం	Universo
భూమి	Tero
జీవం	Vivo
మరణం	Morto
మానవుడు	Homo
సంతోషం	Feliĉo
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finnlando
స్వీడన్	Svedio
డెన్మార్క్	Danio
పోలాండ్	Pollando
లిథువేనియా	Litovio
ఇటలీ	Italio
స్విట్జర్లాండ్	Svislando
ఆస్ట్రియా	Aŭstrio
గ్రీస్	Grekio
టర్కీ	Turkio
బీరు	Biero
పోర్చుగల్	Portugalio
ఐరోపా	Eŭropo
ఆసియా	Azio
ఉత్తర అమెరికా	Nordameriko
అంటార్కిటికా	Antarkto
వికీపీడియా	Vikipedio
నెదర్లాండ్స్	Nederlando
శిశ్నము	Peniso
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	Novjorko
వాషింగ్టన్, డి.సి.	Vaŝingtono
శాన్ ఫ్రాన్సిస్కో	San-Francisko
బెర్లిన్	Berlino
లాస్ ఏంజలెస్	Los-Anĝeleso
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Komputilo
ఇంటర్నెట్	Interreto
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Presilo
మీడియావికీ	MediaVikio
లండన్	Londono
కైరో	Kairo
తలనొప్పి	Kapdoloro
అలెగ్జాండ్రియా	Aleksandrio
ఆపిల్	Pomo
పారిస్	Parizo
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android
గూగుల్	Google
మెక్సికో	Meksiko
అట్లాంటిక్ మహాసముద్రం	Atlantika Oceano
పసిఫిక్ మహాసముద్రం	Pacifika Oceano
కాలిఫోర్నియా	Kalifornio
బోస్టన్	Bostono
సోమవారము	Lundo
అంతరిక్షం	Spaco
జనవరి	Januaro
ఫిబ్రవరి	Februaro
మార్చి	Marto
అంగారకుడు	Marso
కెన్యా	Kenjo
ఇథియోపియా	Etiopio
ఘనా	Ganao
ఏప్రిల్	Aprilo
మే	Majo
జూన్	Junio
జూలై	Julio
ఆగష్టు	Aŭgusto
సెప్టెంబర్	Septembro
అక్టోబర్	Oktobro
నవంబర్	Novembro
డిసెంబర్	Decembro
మంగళవారము	Mardo
బుధవారము	Merkredo
గురువారము	Ĵaŭdo
శుక్రవారము	Vendredo
శనివారము	Sabato
ఆదివారము	Dimanĉo
సింహం	Leono
ఫ్రాన్స్	Francio
కుక్క	Hundo
యునైటెడ్ కింగ్‌డమ్	Unuiĝinta Reĝlando
పిల్లి	Hejma kato
చైనా	Ĉina Popola Respubliko
ఫ్రెంచి భాష	Franca lingvo
చేప	Fiŝoj
